w_x,w_y,w_z,a_x,a_y,a_z,m_x,m_y,m_z,h,T,q0,q1,q2,q3,Vn,Ve,Vd,Pn,Pe,Pd
1.101421180260000188e-01,-1.111795862220000125e-01,1.202458800940000086e-02,-3.581265892000000672e-01,-3.943727188600000266e-01,-9.741005851999998910e+00,2.326766244444444520e-01,-1.466431122222222050e-01,3.681533133333333430e-01,-9.780470214285715258e+01,2.674000000000000199e+01,9.503289999999999793e-01,-5.659248700000000208e-03,-9.587049000000000265e-03,3.110481999999999969e-01,-1.060422359999999981e-01,-1.249758700000000028e-01,-1.905744000000000105e+00,1.898070900000000116e-01,-3.022937800000000119e-01,-1.061282800000000082e+00
1.383814133807692304e-01,-7.621154251346153041e-02,4.942519505769230569e-03,-4.106266476923077224e-01,-4.033327224999999627e-01,-9.815143757692307958e+00,2.363307050000000020e-01,-1.348313889999999959e-01,3.671659160000000366e-01,-9.767522957142857365e+01,2.674428571428571644e+01,9.498240999999999490e-01,9.323984000000000438e-03,-1.469640900000000056e-02,3.122999399999999981e-01,-7.009126999999999719e-02,-2.298747200000000046e-01,-1.916185400000000039e+00,1.797160200000000041e-01,-3.709955200000000231e-01,-1.453847799999999912e+00
6.279185170600000421e-02,-3.039433268999999424e-02,2.172519694799999665e-02,-4.006884352000000260e-01,-2.197529755000000029e-01,-9.526135131999998507e+00,2.431651922222222428e-01,-1.256814633333333264e-01,3.701281122222221942e-01,-9.738857953846155624e+01,2.674923076923077048e+01,9.491586699999999821e-01,2.456105700000000072e-02,-1.887494500000000061e-02,3.132705399999999862e-01,-5.870382500000000114e-02,-2.754945999999999784e-01,-1.879473399999999961e+00,1.727772999999999948e-01,-4.590397999999999978e-01,-1.806569599999999998e+00
4.262482720940000136e-02,-4.368308038599999499e-02,2.577716052040000122e-02,-6.103198733200000392e-01,-3.031219209400001224e-01,-9.932911722000000054e+00,2.397817822222222395e-01,-1.253487388888888665e-01,3.688115877777777829e-01,-9.663843186666667862e+01,2.675000000000000000e+01,9.482418000000000236e-01,2.975294399999999992e-02,-1.721618100000000054e-02,3.156834199999999924e-01,-5.771271000000000040e-02,-2.534735200000000077e-01,-1.822263799999999989e+00,1.612653400000000070e-01,-5.429985499999999687e-01,-2.156026100000000056e+00
2.218119172307693454e-02,-9.358977061807691178e-02,1.934616286249999859e-02,-5.885455906653848102e-01,-1.887799499673076253e-01,-9.964964861538460283e+00,2.482403011111111168e-01,-1.213560466666666476e-01,3.651911188888888882e-01,-9.645604399999999146e+01,2.675999999999999801e+01,9.471169000000000393e-01,3.482665000000000066e-02,-2.187570200000000034e-02,3.182423699999999966e-01,-8.404533999999999616e-02,-2.412590099999999960e-01,-1.849599800000000016e+00,1.663777399999999962e-01,-6.427540999999999949e-01,-2.542218999999999784e+00
4.840718453400000981e-02,-6.666262056000001046e-02,1.074581120599999925e-02,-6.340127043759999914e-01,-4.166251964000000085e-01,-1.000641381799999863e+01,2.556837977777777771e-01,-1.223542211111111055e-01,3.615706666666666513e-01,-9.596036364285713205e+01,2.675785714285714079e+01,9.461947000000000552e-01,3.954732999999999860e-02,-3.063768000000000047e-02,3.197076999999999836e-01,-9.654408999999999907e-02,-1.991763000000000006e-01,-1.842290500000000053e+00,1.505339300000000102e-01,-7.235413000000000538e-01,-2.899541000000000146e+00
3.038372530230769308e-02,2.053162932692307804e-02,-4.607305791346153877e-04,-5.138186448076923485e-01,-2.834045550769230259e-01,-9.919467492307692424e+00,2.543304322222222358e-01,-1.193596966666666676e-01,3.586084722222222521e-01,-9.562441107142855401e+01,2.675999999999999801e+01,9.454310000000000214e-01,4.679856400000000083e-02,-3.338523599999999869e-02,3.207110799999999817e-01,-5.343595000000000289e-02,-1.363137500000000113e-01,-1.897185399999999911e+00,1.374995599999999929e-01,-7.992327999999999655e-01,-3.301161299999999965e+00
1.025786010000000496e-03,-3.466044194479999535e-02,2.365584121600000037e-03,-5.616510282000000132e-01,-2.905984635199999611e-01,-9.335775713999998615e+00,2.583905222222221965e-01,-1.173633516666666571e-01,3.553171544444444496e-01,-9.525724723076922373e+01,2.675999999999999801e+01,9.454561999999999689e-01,4.733017500000000211e-02,-3.072572100000000098e-02,3.208246799999999732e-01,-2.989342000000000041e-02,-1.542078000000000025e-02,-1.869621500000000047e+00,1.311994999999999967e-01,-8.367495000000000349e-01,-3.674703399999999842e+00
-1.983664805320000182e-02,4.473787141999999162e-02,-1.608630176999999942e-03,-4.090240587999999788e-01,-2.139172316799999862e-01,-8.999127614000000719e+00,2.648189944444443999e-01,-1.203578749999999892e-01,3.395187999999999540e-01,-9.475282542857141266e+01,2.676999899999999144e+01,9.452553399999999995e-01,4.814806600000000325e-02,-3.543106499999999770e-02,3.208096300000000123e-01,-5.353709300000000088e-02,8.440883000000000413e-02,-1.733777399999999913e+00,9.842956999999999401e-02,-8.575552699999999806e-01,-4.041210000000000413e+00
-1.150863692115384612e-01,-6.151249150384615477e-02,1.632335863653846305e-03,-7.884843232692310133e-01,-3.983734185961537028e-02,-9.797696721153844379e+00,2.622137800000000629e-01,-1.264467340000000051e-01,3.413948560000000243e-01,-9.424021464285715410e+01,2.676999899999999144e+01,9.457870999999999917e-01,4.129568000000000128e-02,-3.038096200000000094e-02,3.207156999999999925e-01,-5.643776799999999927e-02,1.759729399999999944e-01,-1.619630799999999926e+00,9.424385999999999874e-02,-8.721224699999999830e-01,-4.415201999999999849e+00
