w_x,w_y,w_z,a_x,a_y,a_z,m_x,m_y,m_z,h,T,q0,q1,q2,q3,Vn,Ve,Vd,Pn,Pe,Pd
-4.797868919999999371e-02,-1.112613752941176218e-02,9.184133738039217121e-03,-1.121670511372549056e-01,2.287897725294117668e-01,-9.065081727450980509e+00,2.330450711111111406e-01,-7.593538333333332835e-02,3.877660411111111260e-01,3.599292178571428735e+01,2.510214264285714947e+01,9.821431999999999940e-01,-9.919483999999999246e-03,-1.120256350000000019e-02,1.875389699999999993e-01,8.397559000000000273e-02,-1.417223999999999984e-01,-2.064496800000000132e+00,2.546336999999999851e+00,2.895716999999999874e+00,-5.686376000000000097e+00
4.624578736000001136e-04,3.853042537199999340e-02,5.524458615400001243e-03,-3.342459612000000524e-01,2.215820455499999675e-01,-9.376111180000002321e+00,2.313885433333333630e-01,-7.495979555555555562e-02,3.874230588888888938e-01,3.660159950000000606e+01,2.510928492857143013e+01,9.818744999999999834e-01,-1.113843800000000051e-02,-1.358030799999999927e-02,1.887164899999999867e-01,6.671269999999999978e-02,-1.226050999999999946e-01,-1.928183399999999992e+00,2.559963199999999883e+00,2.874240599999999812e+00,-6.075178000000000189e+00
-3.519728523653846419e-02,1.730770100000000172e-02,5.216593471346154219e-03,-2.653381472115384221e-01,2.377531374038462098e-01,-9.273124161538460086e+00,2.333763722222222392e-01,-7.398420666666666312e-02,3.877660377777777390e-01,3.689395249999999749e+01,2.512714257142857122e+01,9.816264000000000101e-01,-6.377769999999999620e-03,-1.353790399999999991e-02,1.902253000000000138e-01,5.811299999999999799e-02,-9.660837999999999370e-02,-1.849596900000000099e+00,2.562173099999999870e+00,2.850394699999999837e+00,-6.483597800000000078e+00
-6.530398886799999858e-02,3.789346721600000273e-02,-2.102238079900000181e-02,-3.312554848000000551e-01,1.907863734840000158e-01,-9.487189374000001507e+00,2.316867180000000415e-01,-7.356145099999997217e-02,3.891379819999999379e-01,3.752659971428571595e+01,2.514071428571427802e+01,9.815241700000000291e-01,-5.055082500000000409e-03,-1.422797800000000050e-02,1.907416999999999863e-01,1.565201199999999987e-02,-7.336658999999999542e-02,-1.749136800000000047e+00,2.568204999999999849e+00,2.840793999999999819e+00,-6.866408299999999798e+00
-1.601939506274509817e-01,-1.337438222352941609e-02,-1.994303701764705769e-02,-3.280951607843137219e-01,3.422093961078430668e-01,-9.208261031372549255e+00,2.373520288888888718e-01,-7.951254111111111245e-02,3.853651499999999896e-01,3.740127828571429092e+01,2.515142857142857125e+01,9.818303000000000447e-01,-1.112993099999999916e-02,-1.670834399999999997e-02,1.886965300000000012e-01,-1.823133799999999971e-02,-3.384736599999999679e-02,-1.679932699999999945e+00,2.567679200000000161e+00,2.846597200000000161e+00,-7.241244299999999967e+00
-1.944794749509999934e-02,3.461162686000000127e-02,2.060833990200000229e-02,-2.384892806000000476e-01,2.291724539599999944e-01,-9.165322229999999237e+00,2.366894211111111312e-01,-8.178891444444444381e-02,3.860511155555556018e-01,3.751301076923076749e+01,2.516000000000000369e+01,9.818833999999999618e-01,-1.849521299999999993e-02,-2.170134900000000172e-02,1.873284899999999864e-01,-1.084027700000000059e-02,-3.340631000000000156e-02,-1.547339400000000031e+00,2.572442300000000071e+00,2.830450499999999980e+00,-7.535967399999999650e+00
1.810448843800000276e-02,5.804951649999998305e-03,4.342018785600000597e-02,-6.746661120000005396e-02,1.979599301200000161e-01,-9.580349944000001727e+00,2.363581166666666733e-01,-8.081332666666667108e-02,3.860511166666666383e-01,3.781914250000000521e+01,2.517142857142857792e+01,9.813034999999999952e-01,-1.498958700000000040e-02,-2.075521300000000152e-02,1.907562800000000003e-01,-1.421464300000000076e-02,-3.951553000000000010e-02,-1.429542499999999938e+00,2.562632799999999822e+00,2.825555299999999992e+00,-7.790488200000000418e+00
-2.789873746666667043e-02,2.995093320588235186e-02,1.501796380392159840e-04,-3.835094392549019959e-01,2.084491176313725824e-01,-1.017013191176470599e+01,2.366894211111111312e-01,-7.951254111111111245e-02,3.884520088888888667e-01,3.830891542857143151e+01,2.518499949999999998e+01,9.804442500000000171e-01,-9.719474000000000516e-03,-2.141389999999999960e-02,1.953869500000000037e-01,5.155024999999999712e-03,-2.808181599999999903e-02,-1.386692299999999989e+00,2.565070899999999821e+00,2.818842200000000187e+00,-8.045564000000000604e+00
-7.562040259400000519e-02,3.821160643200000040e-02,-4.369188856400001153e-02,-1.303045818399999889e-01,2.203232754600000509e-01,-1.008762117000000025e+01,2.376502030000000043e-01,-7.882962699999999934e-02,3.879032329999999584e-01,3.848160950000000469e+01,2.519857042857142559e+01,9.806264000000000092e-01,-8.228825999999999849e-03,-1.996629899999999985e-02,1.946936700000000131e-01,2.967658499999999838e-02,-7.218897299999999830e-03,-1.456007800000000074e+00,2.563237700000000174e+00,2.817850599999999872e+00,-8.326285999999999632e+00
-6.247895925400000217e-02,7.998054478000002354e-02,-4.988494166999999507e-02,-3.399776978699999841e-01,2.318234091800000229e-01,-9.896413990000000993e+00,2.350328955555555932e-01,-7.918734444444444631e-02,3.857081399999999771e-01,3.872640207142857349e+01,2.521571428571428442e+01,9.814232000000000511e-01,-1.228511799999999939e-02,-2.046146199999999971e-02,1.903657300000000108e-01,4.756057600000000024e-02,1.600361399999999934e-02,-1.502122200000000074e+00,2.572544800000000187e+00,2.824843200000000110e+00,-8.599802999999999642e+00
-2.590849281538461571e-02,5.402505404423076085e-02,-2.062341659423077428e-02,-2.206990039230768974e-01,1.905813380769230680e-01,-9.900191494230767830e+00,2.294007266666666378e-01,-7.593538444444444813e-02,3.867370922222222451e-01,3.919182685714285697e+01,2.522071428571428697e+01,9.824055000000000426e-01,-1.408874100000000011e-02,-1.315091099999999950e-02,1.857637500000000053e-01,5.500330400000000286e-02,7.869142000000000844e-03,-1.505696399999999935e+00,2.591939200000000110e+00,2.823875199999999808e+00,-8.899734000000000478e+00
