timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
1073893688,40023207,32.3873805,-117.07638700000001,6.2827234,-0.41562507,-4.179858,-0.00497199,-0.019541295,0.0,-0.38289776,-0.21021903,-2.0327942,-2.0619564,-0.07570497,0.020968163,0.11818779,2.295254,0.18316612,1.5538433,0.38028738,16.215641,1.5988822,2.0327942,0.3027027,0.23897839,0.16259743,0.10487622,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1073997605,40023207,32.3873805,-117.07638700000001,6.2382517,-0.43627673,-4.3669863,-0.00497199,-0.019541295,0.0,-0.3047222,-0.18088157,-1.9494656,-1.9560883,-0.07570497,0.020968163,0.11818779,1.4621005,-0.32072195,-0.562749,0.38288203,16.215641,1.7860103,1.9494656,0.29175135,0.23916155,0.1569689,0.104541145,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1074102396,40023207,32.3873805,-117.07638700000001,6.2030864,-0.4539827,-4.548844,-0.00497199,-0.019541295,0.0,-0.23167364,-0.1520573,-1.8946209,-1.8817831,-0.07570497,0.020968163,0.11818779,1.8155595,0.45369545,1.9453099,0.3844951,16.215641,1.9678679,1.8946209,0.30425736,0.24062294,0.16119894,0.10519547,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1074198408,40023207,32.3873805,-117.07638700000001,6.1760306,-0.46748623,-4.7095127,-0.00497199,-0.019541295,0.0,-0.18410015,-0.13300025,-1.8490531,-1.8193545,-0.07570497,0.020968163,0.11818779,-1.1979628,0.5539376,-0.84049124,0.38579404,16.215641,2.1285367,1.8490531,0.29228505,0.24004066,0.15562287,0.10465214,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1074302438,40023207,32.3873805,-117.07638700000001,6.154847,-0.4799617,-4.876962,-0.00497199,-0.019541295,0.0,-0.113967754,-0.10776424,-1.7904357,-1.7435124,-0.07570497,0.020968163,0.11818779,1.1959789,2.11251,2.188257,0.38616312,16.215641,2.2959862,1.7904357,0.30483985,0.2415824,0.16019334,0.10533423,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1074407209,40023207,32.3873805,-117.07638700000001,6.1351967,-0.488234,-5.0468044,-0.00497199,-0.019541295,0.0,-0.074349076,-0.0925819,-1.7609566,-1.7041228,-0.07570497,0.020968163,0.11818779,-0.8478104,-0.3770933,-2.3650045,0.38571194,16.215641,2.4658284,1.7609566,0.29367614,0.24160634,0.1549824,0.10497395,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1074503194,40023207,32.3873805,-117.07638700000001,6.122713,-0.4943403,-5.200129,-0.00497199,-0.019541295,0.0,-0.044546653,-0.081894524,-1.725816,-1.6620945,-0.07570497,0.020968163,0.11818779,-0.32751867,-1.762944,-1.4420954,0.3856795,16.215641,2.619153,1.725816,0.30515194,0.24060154,0.15913844,0.1049798,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1074607192,40023207,32.3873805,-117.07638700000001,6.1086984,-0.49753788,-5.364264,-0.00497199,-0.019541295,0.0,0.00011941101,-0.057951838,-1.661006,-1.5934429,-0.07570497,0.020968163,0.11818779,1.6241341,1.4939469,2.3206477,0.38441113,16.215641,2.783288,1.661006,0.2943675,0.24067616,0.15433314,0.10463955,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1074712027,40023207,32.3873805,-117.07638700000001,6.101703,-0.5003026,-5.5228357,-0.00497199,-0.019541295,0.0,0.03764116,-0.054771982,-1.6243677,-1.551645,-0.07570497,0.020968163,0.11818779,-0.48287466,-0.38622957,-1.3361547,0.38297603,16.215641,2.9418597,1.6243677,0.28435382,0.24064367,0.14956978,0.1042632,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1074815994,40023207,32.3873805,-117.07638700000001,6.1001678,-0.504701,-5.6796994,-0.00497199,-0.019541295,0.0,0.08039451,-0.057914782,-1.5637867,-1.4903103,-0.07570497,0.020968163,0.11818779,1.7175962,0.29970983,2.2945812,0.38138282,16.215641,3.0987234,1.5637867,0.29620945,0.24029073,0.15399067,0.10449402,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1074911998,40023207,32.3873805,-117.07638700000001,6.104468,-0.50896466,-5.8200445,-0.00497199,-0.019541295,0.0,0.12176947,-0.057057198,-1.5177196,-1.4439576,-0.07570497,0.020968163,0.11818779,2.7965727,0.77028143,4.8221474,0.38017446,16.215641,3.2390685,1.5177196,0.28550124,0.23973264,0.14911464,0.10396961,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1075016812,40023207,32.3873805,-117.07638700000001,6.114537,-0.5131171,-5.9751124,-0.00497199,-0.019541295,0.0,0.14421357,-0.056455884,-1.4736812,-1.4064686,-0.07570497,0.020968163,0.11818779,3.027371,-0.3101601,1.7069767,0.37951052,16.215641,3.3941364,1.4736812,0.2973459,0.23942721,0.15343282,0.10422745,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1075120823,40023207,32.3873805,-117.07638700000001,6.128561,-0.51732993,-6.125805,-0.00497199,-0.019541295,0.0,0.15929429,-0.04746502,-1.4276407,-1.3677552,-0.07570497,0.020968163,0.11818779,0.58496815,-0.551624,-0.7305319,0.37934476,16.215641,3.544829,1.4276407,0.2876244,0.23947243,0.14889695,0.10390749,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1075216841,40023207,32.3873805,-117.07638700000001,6.145656,-0.52120143,-6.2596607,-0.00497199,-0.019541295,0.0,0.16901463,-0.03009636,-1.3741114,-1.319578,-0.07570497,0.020968163,0.11818779,-0.9316843,-0.3542707,-0.68396944,0.3805649,16.215641,3.6786847,1.3741114,0.29866144,0.24030535,0.15305375,0.10442671,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1075320821,40023207,32.3873805,-117.07638700000001,6.1649456,-0.523744,-6.399409,-0.00497199,-0.019541295,0.0,0.18740773,-0.017764525,-1.3207948,-1.2712035,-0.07570497,0.020968163,0.11818779,2.3681974,0.77677155,2.206441,0.38265032,16.215641,3.8184328,1.3207948,0.28912932,0.23860724,0.14857246,0.103659466,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1075425607,40023207,32.3873805,-117.07638700000001,6.1826787,-0.5237721,-6.5343213,-0.00497199,-0.019541295,0.0,0.19204734,-0.0018944748,-1.2710105,-1.2253816,-0.07570497,0.020968163,0.11818779,2.223955,0.8044902,3.152447,0.38415462,16.215641,3.9533453,1.2710105,0.3010025,0.23998718,0.15290317,0.10435286,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1075521597,40023207,32.3873805,-117.07638700000001,6.2011843,-0.5231892,-6.6521277,-0.00497199,-0.019541295,0.0,0.20403528,0.013366904,-1.2277493,-1.1840545,-0.07570497,0.020968163,0.11818779,-0.30075228,1.2377335,3.0735304,0.38515908,16.215641,4.0711517,1.2277493,0.29078457,0.2393913,0.1482719,0.10383044,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1075625609,40023207,32.3873805,-117.07638700000001,6.2238154,-0.5242184,-6.77541,-0.00497199,-0.019541295,0.0,0.2081618,0.013932904,-1.2082003,-1.1658032,-0.07570497,0.020968163,0.11818779,-0.76826286,-2.4575315,-0.59662294,0.38595444,16.215641,4.194434,1.2082003,0.30265674,0.24077144,0.15263833,0.10452927,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
