timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
86523668,0.22658649,-0.16627388,0.36420372
86545667,0.22963154,-0.16327934,0.37309033
86567713,0.2144062,-0.1722629,0.36716592
86589709,0.2144062,-0.1722629,0.36716592
86611666,0.21745129,-0.1692684,0.36716592
86633666,0.22049636,-0.1692684,0.36716592
86655666,0.22963154,-0.16627388,0.34939277
86677666,0.21745129,-0.16028483,0.3701281
86699668,0.21745129,-0.1722629,0.36716592
86721666,0.22963154,-0.16327934,0.3819769
86744733,0.22963154,-0.16028483,0.3701281
86766707,0.20527102,-0.1722629,0.3701281
86789677,0.22049636,-0.1722629,0.3819769
86811672,0.21745129,-0.17525744,0.3819769
86833715,0.2144062,-0.16627388,0.37901467
86856723,0.22049636,-0.16028483,0.37901467
86878719,0.22354142,-0.16627388,0.36124152
86901666,0.22658649,-0.16627388,0.3701281
86922792,0.22963154,-0.16627388,0.3760525
86943673,0.22354142,-0.1692684,0.3701281
86965667,0.20831607,-0.1692684,0.3760525
86987673,0.22354142,-0.1722629,0.3760525
87009673,0.20831607,-0.1692684,0.3760525
87032724,0.20831607,-0.1692684,0.3760525
87054708,0.22658649,-0.17525744,0.3819769
87077668,0.22049636,-0.16327934,0.38790125
87099667,0.22354142,-0.16028483,0.38790125
87121706,0.22049636,-0.16627388,0.37309033
87144731,0.22049636,-0.16627388,0.36124152
87166707,0.22049636,-0.1692684,0.3760525
87189670,0.20527102,-0.16627388,0.3760525
87210823,0.20831607,-0.16627388,0.3701281
87233673,0.21745129,-0.1692684,0.37901467
87256730,0.21745129,-0.1692684,0.3819769
87277674,0.21745129,-0.1572903,0.37309033
87299708,0.22963154,-0.15130126,0.37901467
87321674,0.21745129,-0.14531222,0.3701281
87344733,0.22049636,-0.13932317,0.36716592
87366715,0.22658649,-0.13932317,0.37309033
87387673,0.22049636,-0.13033961,0.3701281
87409673,0.22963154,-0.12435056,0.3760525
87431713,0.22963154,-0.12435056,0.37901467
87453674,0.22354142,-0.13333413,0.36716592
87475675,0.22963154,-0.12435056,0.38790125
87497670,0.22658649,-0.13932317,0.3701281
87519675,0.22354142,-0.1423177,0.36420372
87541675,0.22658649,-0.13932317,0.37901467
87563675,0.22354142,-0.15130126,0.37309033
87585674,0.21745129,-0.14830673,0.3819769
87608718,0.22049636,-0.14531222,0.39086345
87630712,0.2144062,-0.15429579,0.3760525
87652710,0.22354142,-0.15130126,0.3760525
87674703,0.21745129,-0.14830673,0.36420372
87696724,0.22049636,-0.15130126,0.36716592
87718750,0.22354142,-0.1423177,0.38493907
87740723,0.22354142,-0.15130126,0.36716592
87763673,0.22049636,-0.14830673,0.3701281
87785666,0.22354142,-0.14830673,0.3760525
87807666,0.21745129,-0.14830673,0.36716592
87829986,0.21745129,-0.15130126,0.3760525
87852723,0.22658649,-0.15130126,0.37309033
87875668,0.22354142,-0.15130126,0.3760525
87897666,0.22658649,-0.1423177,0.38790125
87919669,0.22049636,-0.14830673,0.36716592
87942705,0.22658649,-0.15130126,0.36420372
87964767,0.23267663,-0.14830673,0.3701281
87985705,0.22049636,-0.14830673,0.36420372
88006741,0.23267663,-0.14531222,0.37901467
88028728,0.24181183,-0.14830673,0.36716592
88050708,0.22963154,-0.14531222,0.36716592
88073159,0.23267663,-0.14830673,0.36420372
88094703,0.23267663,-0.14830673,0.36420372
88116716,0.22963154,-0.14531222,0.36420372
88138704,0.24181183,-0.1423177,0.37309033
88161123,0.23267663,-0.13932317,0.36716592
88183670,0.22963154,-0.13632865,0.36124152
88206703,0.22658649,-0.13632865,0.36420372
88228729,0.23572169,-0.13932317,0.36716592
88250743,0.23876676,-0.13033961,0.3760525
88271706,0.23572169,-0.13632865,0.36420372
88294701,0.2448569,-0.13632865,0.36420372
88316732,0.23572169,-0.13333413,0.36420372
88338704,0.24181183,-0.13632865,0.36716592
88359674,0.24181183,-0.12435056,0.3760525
88382706,0.23876676,-0.13033961,0.36716592
88404843,0.24790196,-0.12734509,0.3701281
88426704,0.23876676,-0.12435056,0.36716592
88447665,0.2448569,-0.12435056,0.3760525
88470707,0.2448569,-0.12135605,0.3760525
88492731,0.24181183,-0.12734509,0.36420372
88514703,0.25094703,-0.12734509,0.37309033
88537252,0.23876676,-0.12435056,0.3701281
88559712,0.24181183,-0.12435056,0.36716592
88582711,0.23572169,-0.12435056,0.36716592
88604735,0.23876676,-0.13033961,0.36716592
88626710,0.23876676,-0.12135605,0.3819769
88647666,0.23572169,-0.12734509,0.3701281
88670714,0.24790196,-0.12435056,0.37309033
88692722,0.23876676,-0.12135605,0.36420372
88714710,0.2448569,-0.13033961,0.35531715
88735665,0.23572169,-0.12435056,0.36716592
88758713,0.24181183,-0.12435056,0.37309033
88780735,0.25399208,-0.12435056,0.36716592
88802711,0.24181183,-0.12135605,0.36124152
88823666,0.24790196,-0.118361525,0.3701281
88846749,0.2448569,-0.118361525,0.3701281
88867705,0.24181183,-0.12435056,0.36716592
88890712,0.25703716,-0.12135605,0.36716592
88913227,0.24790196,-0.12135605,0.36716592
88935666,0.25094703,-0.12135605,0.36124152
88958703,0.24790196,-0.12135605,0.35531715
88980735,0.25399208,-0.12734509,0.35531715
89002712,0.25399208,-0.118361525,0.36716592
89023667,0.26008224,-0.12435056,0.3701281
89046704,0.2631273,-0.12135605,0.36420372
89068728,0.25094703,-0.118361525,0.35827935
89090704,0.25703716,-0.12734509,0.35235497
89111666,0.24790196,-0.12135605,0.36420372
89134743,0.25094703,-0.12135605,0.35827935
89155706,0.2631273,-0.12135605,0.36420372
89178706,0.25094703,-0.118361525,0.35827935
89201213,0.26008224,-0.12435056,0.35531715
89223666,0.25703716,-0.12435056,0.34939277
89246703,0.25399208,-0.12135605,0.35531715
89268744,0.25703716,-0.11237249,0.36716592
89290703,0.25094703,-0.118361525,0.36420372
89311665,0.25399208,-0.115367,0.36124152
89334706,0.25094703,-0.115367,0.36124152
89356740,0.25399208,-0.12435056,0.35531715
89378703,0.25703716,-0.115367,0.36716592
89402703,0.25399208,-0.12135605,0.35531715
89425388,0.25399208,-0.115367,0.37309033
89447665,0.25703716,-0.115367,0.3760525
89470703,0.25399208,-0.11237249,0.3701281
89492739,0.26008224,-0.12135605,0.33458182
89514703,0.2631273,-0.118361525,0.34643057
89537215,0.2631273,-0.118361525,0.337544
89558702,0.2631273,-0.118361525,0.337544
89580740,0.2631273,-0.118361525,0.3405062
89602707,0.26617235,-0.12135605,0.337544
89625611,0.26617235,-0.118361525,0.337544
89647706,0.26617235,-0.118361525,0.3405062
89670712,0.2631273,-0.12135605,0.337544
89692751,0.2631273,-0.12135605,0.3405062
89713705,0.26617235,-0.12135605,0.3405062
89734742,0.26617235,-0.12135605,0.3434684
89756721,0.2631273,-0.12135605,0.337544
89778704,0.26008224,-0.12135605,0.34643057
89801154,0.26008224,-0.12135605,0.3434684
89822703,0.26008224,-0.12135605,0.34643057
89844671,0.26008224,-0.12734509,0.3434684
89865680,0.2631273,-0.12734509,0.337544
89887716,0.2631273,-0.13033961,0.3405062
89910704,0.2631273,-0.13033961,0.33458182
89932728,0.26008224,-0.12734509,0.3434684
89954709,0.26617235,-0.13033961,0.3405062
89977167,0.26617235,-0.12734509,0.337544
89999674,0.26617235,-0.13333413,0.337544
90022703,0.26617235,-0.13333413,0.337544
90044768,0.26921746,-0.13333413,0.3405062
90065714,0.26617235,-0.13033961,0.337544
90086743,0.26617235,-0.13333413,0.33161962
90108757,0.26921746,-0.13333413,0.33458182
90130704,0.26921746,-0.13333413,0.33458182
90153228,0.26617235,-0.13333413,0.32865742
90174703,0.26617235,-0.13333413,0.337544
90196717,0.2722625,-0.13333413,0.33458182
90218704,0.26921746,-0.13033961,0.33458182
90240719,0.26921746,-0.13333413,0.337544
90263938,0.26617235,-0.13333413,0.33458182
90287944,0.26921746,-0.13033961,0.337544
90312017,0.26617235,-0.13033961,0.337544
90335917,0.26921746,-0.13333413,0.33161962
90360071,0.26617235,-0.13333413,0.3405062
90382711,0.26617235,-0.13333413,0.337544
90405666,0.26921746,-0.13333413,0.33458182
90426712,0.26617235,-0.13333413,0.33458182
90449666,0.26617235,-0.13632865,0.337544
90471845,0.26921746,-0.13632865,0.3405062
90495609,0.26617235,-0.13632865,0.337544
90517675,0.26921746,-0.13632865,0.33458182
90539352,0.2631273,-0.13932317,0.33458182
90563085,0.26617235,-0.13932317,0.33161962
90587076,0.2631273,-0.13632865,0.3405062
90611079,0.2631273,-0.13632865,0.337544
90632731,0.26617235,-0.13932317,0.33458182
90653665,0.2631273,-0.13932317,0.337544
90675073,0.26921746,-0.13932317,0.33161962
90698666,0.26617235,-0.13632865,0.33161962
90720711,0.2631273,-0.13632865,0.33458182
90741673,0.26617235,-0.13632865,0.3405062
90763666,0.2631273,-0.13333413,0.337544
90787088,0.26617235,-0.13632865,0.337544
90809665,0.2631273,-0.13333413,0.337544
90832725,0.26008224,-0.13632865,0.33161962
90853666,0.2631273,-0.13632865,0.3434684
