timestamp,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],vibe[0],vibe[1],vibe[2],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],control_mode_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,gps_check_fail_flags,filter_fault_flags,innovation_check_flags,solution_status_flags,n_states,pre_flt_fail,health_flags,timeout_flags
86530123,0.9445003,-0.023295803,-0.0022758767,0.3276756,-0.010028593,0.0070934556,-0.002250631,0.22285719,-0.26770714,-0.20293763,8.499265e-06,-4.50711e-06,1.8698582e-07,-5.8220237e-05,5.3526776e-07,-0.00062313775,0.25925115,0.04327901,0.38010594,0.0,0.0,0.0,0.0,0.0,2.5290622e-10,2.5613486e-05,0.0028763541,3.9125966e-06,9.948986e-05,9.958668e-05,3.22881e-05,0.012959385,0.012966504,0.010476139,0.05800652,0.058013123,0.0560786,1.0431826e-11,1.0438436e-11,1.8151427e-11,2.412299e-06,2.4066344e-06,5.000007e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535,0.34061655,0.23680921,0.011713463,0.046071053,0.017913029,0.005916327,0.0,0.0,0.0,-0.007032,0,0,0,831,24,0,0,0
86738152,0.9445195,-0.023444705,-0.002287586,0.32760966,-0.01609297,0.028538113,-0.004977264,0.22639823,-0.2789275,-0.20706885,8.569809e-06,-4.519637e-06,1.9491458e-07,-5.800989e-05,1.8385567e-06,-0.0006227146,0.25925115,0.04327901,0.38010594,0.0,0.0,0.0,0.0,0.0,8.698562e-09,8.025362e-05,0.0043690843,3.905705e-06,9.953539e-05,9.963238e-05,3.223838e-05,0.01303395,0.013040981,0.010490674,0.05833375,0.05834039,0.056117624,1.04363514e-11,1.0442944e-11,1.8137894e-11,2.4122464e-06,2.4065796e-06,5.0000025e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535,0.34157598,0.23689158,0.04410929,0.034970846,0.018887248,0.0055001564,0.0,0.0,0.0,-0.007001,0,0,0,831,24,0,0,0
86938128,0.9443401,-0.02352483,-0.0023011996,0.3281204,-0.010202097,0.045460198,-0.012256806,0.23519601,-0.29182503,-0.207304,8.681454e-06,-4.5267584e-06,1.7524525e-07,-5.7857673e-05,3.7973334e-06,-0.00062418816,0.25925115,0.04327901,0.38010594,0.0,0.0,0.0,0.0,0.0,1.23616015e-08,9.73091e-05,0.0051966025,3.9144606e-06,9.9573284e-05,9.967034e-05,3.221031e-05,0.013037421,0.013044135,0.010471843,0.05837256,0.05837915,0.055882573,1.0436726e-11,1.0443356e-11,1.8132341e-11,2.4121996e-06,2.406527e-06,5.000006e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535,0.3416895,0.23639496,0.06617052,0.055641487,0.021209065,0.014999915,0.0,0.0,0.0,-0.007028,0,0,0,831,24,0,0,0
87138127,0.9444673,-0.02356959,-0.002411429,0.3277502,-0.00885456,0.07318022,-0.017712802,0.24458389,-0.29451826,-0.21087286,8.763732e-06,-4.5154998e-06,1.570654e-07,-5.7869656e-05,5.4987904e-06,-0.00062497926,0.25925115,0.04327901,0.38010594,0.0,0.0,0.0,0.0,0.0,1.565864e-08,0.00013435868,0.006491031,3.9027045e-06,9.9610836e-05,9.9708406e-05,3.2203174e-05,0.013069129,0.013075287,0.010458557,0.05840571,0.058412228,0.05567986,1.043623e-11,1.044293e-11,1.8126877e-11,2.4121518e-06,2.4064695e-06,5.000006e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663,0.34178638,0.2359658,0.044589013,0.04085251,0.020666292,0.009132921,0.0,0.0,0.0,-0.007026,0,0,0,831,24,0,0,0
87346125,0.94458413,-0.023442486,-0.0023391931,0.32742316,0.0010221918,0.10970148,-0.023820827,0.24040416,-0.28952584,-0.20914844,8.790433e-06,-4.574138e-06,1.2680819e-07,-5.742935e-05,6.2493586e-06,-0.00062677567,0.25925115,0.04327901,0.38010594,0.0,0.0,0.0,0.0,0.0,5.26471e-07,0.0004738225,0.012349852,3.8928342e-06,9.9643294e-05,9.9741475e-05,3.221303e-05,0.013168456,0.013173638,0.010405723,0.058803752,0.05881026,0.055042304,1.0439678e-11,1.0446488e-11,1.8125581e-11,2.4121161e-06,2.4064175e-06,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663,0.342949,0.23461096,0.013264948,0.02945227,0.020542013,0.013800237,0.0,0.0,0.0,-0.007029,0,0,0,831,24,0,0,0
87546134,0.9469625,0.021375729,0.0031785173,0.32061672,-0.04947468,0.13913678,-0.3404039,0.2357249,-0.27910194,-0.23707697,8.845461e-06,-4.616162e-06,7.6838376e-08,-5.770728e-05,6.3112852e-06,-0.00062860444,0.25925115,0.04327901,0.38010594,0.0,0.0,0.0,0.0,0.0,9.404511e-07,0.00077123824,0.02097208,3.6914332e-06,9.966841e-05,9.971323e-05,3.2403383e-05,0.013427499,0.01343272,0.010394924,0.05885742,0.058863744,0.054896887,1.0437287e-11,1.0444254e-11,1.8120177e-11,2.412033e-06,2.4063024e-06,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663,0.34310517,0.23430085,0.031272158,0.038798835,0.020126145,0.06499961,0.0,0.0,0.0,-0.007019,0,0,0,831,24,0,0,0
87749315,0.95003927,-0.0137055665,0.0020896983,0.3118227,-0.068181366,0.12506738,-1.1699117,0.23209506,-0.27141282,-0.39220002,8.960629e-06,-4.6185837e-06,4.7453018e-08,-5.7130386e-05,-8.929534e-06,-0.0006292345,0.25925115,0.04327901,0.38010594,0.0,0.0,0.0,0.0,0.0,7.7103994e-07,0.0010373334,0.027396748,3.4829961e-06,9.947079e-05,9.9545e-05,3.25273e-05,0.014442057,0.01445219,0.010384951,0.05903271,0.059038866,0.05478197,1.043236e-11,1.0439598e-11,1.8114819e-11,2.4103451e-06,2.404563e-06,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663,0.34361544,0.23405549,0.015046171,0.054229405,0.020663721,0.000640254,0.0,0.0,0.0,-0.007039,0,0,0,831,24,0,0,0
87952511,0.95084375,-0.011190623,0.0022343656,0.30946088,-0.07657523,-0.02984852,-1.7953346,0.21749145,-0.27435267,-0.6907834,8.986561e-06,-4.6480736e-06,2.8063967e-08,-6.3335174e-05,-1.0600264e-05,-0.0006343068,0.25925115,0.04327901,0.38010594,0.0,0.0,0.0,0.0,0.0,6.1117794e-07,0.0010125409,0.029135767,3.4150921e-06,9.875974e-05,9.883449e-05,3.2514807e-05,0.015521381,0.0155345,0.01048211,0.05945786,0.059464276,0.05552888,1.043475e-11,1.0442156e-11,1.8109573e-11,2.4022456e-06,2.396421e-06,5.0000025e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663,0.3448509,0.23564567,0.010029107,0.037807852,0.019100301,0.03764629,0.0,0.0,0.0,-0.007042,0,0,0,831,24,0,0,0
88152546,0.950329,-0.0056592487,-0.009587049,0.3110482,-0.106042236,-0.12497587,-1.905744,0.18980709,-0.30229378,-1.0612828,8.9925725e-06,-4.70261e-06,-6.4795934e-08,-8.0728874e-05,-6.677992e-06,-0.00064032595,0.25925115,0.04327901,0.38010594,0.0,0.0,0.0,0.0,0.0,5.067611e-07,0.00084687106,0.026543671,3.4480934e-06,9.776146e-05,9.78548e-05,3.24955e-05,0.015623975,0.015635775,0.0105039105,0.059877314,0.05988425,0.055477407,1.0435035e-11,1.0442512e-11,1.8116562e-11,2.3904731e-06,2.3845291e-06,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663,0.34606585,0.23553643,0.043807548,0.029138781,0.015545427,4.6974827e-05,0.0,0.0,0.0,-0.007009,0,0,0,831,24,0,0,0
88360540,0.9498241,0.009323984,-0.014696409,0.31229994,-0.07009127,-0.22987472,-1.9161854,0.17971602,-0.37099552,-1.4538478,9.135988e-06,-4.751252e-06,-1.3692026e-07,-0.00010195563,-5.291752e-05,-0.0006436504,0.25925115,0.04327901,0.38010594,0.0,0.0,0.0,0.0,0.0,4.7835607e-07,0.000819971,0.026274655,3.4864704e-06,9.674987e-05,9.6847616e-05,3.251107e-05,0.015443866,0.015453032,0.01050976,0.060523175,0.060530707,0.054870497,1.0430205e-11,1.0437707e-11,1.8116194e-11,2.3786984e-06,2.37264e-06,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663,0.347928,0.23424453,0.024349233,0.08766051,0.024017492,0.024529409,0.0,0.0,0.0,-0.007015,0,0,0,831,24,0,0,0
