timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,fix_type,vel_ned_valid,satellites_used
95514629,1557937325200466,323874384,-1170762796,20528,-13916,0.273,0.35679832,0.791,1.1930001,0.55,0.91999996,61,4,0.052,-0.031000001,0.042000003,-0.029000001,2.039283,0,nan,0.0,3,1,20
95812989,1557937325400466,323874384,-1170762796,20541,-13903,0.21000001,0.35681456,0.791,1.192,0.55,0.91999996,61,4,0.013,0.006,0.011000001,0.012,2.039283,0,nan,0.0,3,1,20
95914628,1557937325600466,323874384,-1170762797,20508,-13936,0.21100001,0.3568308,0.79,1.19,0.55,0.91999996,61,4,0.076000005,-0.008,-0.076000005,-0.033,2.039283,0,nan,0.0,3,1,20
96107677,1557937325800466,323874384,-1170762798,20502,-13942,0.264,0.35685104,0.78900003,1.189,0.55,0.91999996,61,4,0.032,0.008,0.031000001,-0.032,2.039283,0,nan,0.0,3,1,20
96325763,1557937326000466,323874383,-1170762797,20505,-13939,0.282,0.35687268,0.78900003,1.187,0.55,0.91999996,61,1,0.062000003,-0.038000003,0.049000002,-0.093,2.039283,0,nan,0.0,3,1,20
96511667,1557937326200466,323874382,-1170762796,20522,-13922,0.277,0.356894,0.78800005,1.1860001,0.55,0.91999996,61,1,0.014,-0.002,-0.014,0.026,2.039283,0,nan,0.0,3,1,20
96713706,1557937326400466,323874383,-1170762795,20499,-13945,0.2,0.35690933,0.78700006,1.184,0.55,0.91999996,61,1,0.098000005,0.030000001,0.093,0.029000001,2.039283,0,nan,0.0,3,1,20
96914623,1557937326600466,323874383,-1170762794,20438,-14006,0.27600002,0.35693064,0.786,1.1830001,0.55,0.91999996,61,1,0.020000001,0.017,-0.011000001,0.030000001,2.039283,0,nan,0.0,3,1,20
97113760,1557937326800466,323874383,-1170762794,20414,-14030,0.25300002,0.35695,0.786,1.182,0.55,0.91999996,61,1,0.060000002,-0.059000004,0.009000001,-0.060000002,2.039283,0,nan,0.0,3,1,20
97313704,1557937327000466,323874384,-1170762794,20416,-14028,0.24700001,0.35696903,0.785,1.1800001,0.55,0.91999996,61,1,0.109000005,0.108,-0.016,0.053000003,2.039283,0,nan,0.0,3,1,20
97513697,1557937327200466,323874385,-1170762795,20398,-14046,0.24000001,0.35698736,0.785,1.179,0.55,0.91999996,61,1,0.041,0.041,-0.0050000004,0.020000001,2.039283,0,nan,0.0,3,1,20
97710049,1557937327400466,323874384,-1170762794,20398,-14046,0.268,0.35700795,0.785,1.1780001,0.55,0.91999996,61,1,0.124000005,-0.080000006,0.094000004,-0.029000001,2.039283,0,nan,0.0,3,1,20
97913795,1557937327600466,323874384,-1170762794,20440,-14004,0.24900001,0.3570296,0.78400004,1.177,0.55,0.91999996,61,1,0.094000004,0.080000006,-0.049000002,-0.26700002,2.039283,0,nan,0.0,3,1,20
98112960,1557937327800466,323874384,-1170762795,20589,-13855,0.277,0.35711598,0.78400004,1.177,0.55,0.91999996,61,1,0.071,-0.047000002,0.052,-1.121,2.039283,0,nan,0.0,3,1,20
98314629,1557937328000466,323874383,-1170762794,20822,-13622,0.28300002,0.3572181,0.785,1.179,0.55,0.91999996,61,1,0.148,-0.074,0.128,-1.3210001,2.039283,0,nan,0.0,3,1,20
98512676,1557937328200466,323874384,-1170762793,21023,-13421,0.294,0.35728946,0.785,1.184,0.55,0.91999996,61,1,0.1,0.068,0.07300001,-0.92700005,2.039283,0,nan,0.0,3,1,20
98707668,1557937328400466,323874387,-1170762794,21211,-13233,0.273,0.7738573,0.786,1.187,0.55,0.91999996,61,1,0.289,0.24900001,-0.148,-0.73600006,1.5866299,0,nan,0.0,3,1,20
98908869,1557937328600466,323874395,-1170762796,21365,-13079,0.246,0.42851514,0.78700006,1.187,0.55,0.91999996,61,1,0.56600004,0.56100005,-0.075,-0.73600006,0.27113637,0,nan,0.0,3,1,20
99104683,1557937328800466,323874414,-1170762796,21516,-12928,0.238,0.15997966,0.78800005,1.1910001,0.55,0.91999996,61,1,1.4380001,1.437,0.066,-0.573,0.07335147,0,nan,0.0,3,1,20
99305465,1557937329000466,323874443,-1170762795,21627,-12817,0.395,0.2129682,0.79300004,1.2,0.55,0.91999996,57,2,1.8140001,1.812,0.086,-0.55,0.06388952,0,nan,0.0,3,1,20
99506291,1557937329200466,323874484,-1170762785,21725,-12719,0.22800002,0.089865774,0.79700005,1.197,0.58,0.93,57,2,2.73,2.604,0.818,-0.47200003,0.26813737,0,nan,0.0,3,1,19
99703716,1557937329400466,323874536,-1170762766,21857,-12587,0.194,0.081729926,0.79800004,1.1910001,0.58,0.93,57,2,3.2770002,3.0740001,1.1350001,-0.569,0.3154663,0,nan,0.0,3,1,19
99907690,1557937329600466,323874598,-1170762739,21992,-12452,0.215,0.067912854,0.79700005,1.1860001,0.58,0.93,57,2,4.01,3.7640002,1.383,-0.30900002,0.3374353,0,nan,0.0,3,1,19
