timestamp,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
1074255523,-57.20622,28.17,102013.99,1.212095
1074267403,-57.454597,28.17,102017.0,1.2121307
1074277728,-57.53915,28.17,102018.0,1.2121426
1074299842,-57.29077,28.17,102015.0,1.212107
1074311123,-56.95784,28.17,102011.0,1.2120594
1074321739,-57.20622,28.17,102013.99,1.212095
1074343861,-57.042393,28.17,102012.0,1.2120713
1074355376,-57.121662,28.17,102013.0,1.2120832
1074365762,-57.20622,28.17,102013.99,1.212095
1074386925,-56.873287,28.17,102010.0,1.2120476
1074398288,-57.29077,28.17,102015.0,1.212107
1074408817,-57.042393,28.17,102012.0,1.2120713
1074430724,-57.121662,28.17,102013.0,1.2120832
1074442282,-57.20622,28.17,102013.99,1.212095
1074452776,-56.95784,28.17,102011.0,1.2120594
1074475728,-56.54564,28.18,102006.0,1.212
1074487867,-57.454597,28.18,102017.0,1.2121307
1074498723,-56.873287,28.18,102010.0,1.2120476
1074520826,-56.794018,28.18,102009.0,1.2120357
1074531385,-56.212708,28.18,102001.99,1.2119524
1074541729,-57.042393,28.18,102012.0,1.2120713
1074563857,-56.873287,28.18,102010.0,1.2120476
1074575954,-56.461082,28.18,102005.0,1.2119881
1074586725,-56.54564,28.18,102006.0,1.212
1074608770,-57.121662,28.18,102013.0,1.2120832
1074620276,-56.794018,28.18,102009.0,1.2120357
1074630725,-56.62491,28.18,102007.0,1.2120119
1074652824,-56.54564,28.18,102006.0,1.212
1074664749,-56.62491,28.18,102007.0,1.2120119
1074675735,-56.461082,28.18,102005.0,1.2119881
1074698725,-56.29726,28.18,102003.0,1.2119644
1074710293,-56.12815,28.18,102000.99,1.2119405
1074721152,-56.54564,28.18,102006.0,1.212
1074742731,-55.96433,28.18,101999.0,1.2119168
1074754296,-56.29726,28.18,102003.0,1.2119644
1074764725,-56.461082,28.18,102005.0,1.2119881
1074788132,-55.631397,28.18,101994.99,1.2118692
1074799276,-56.212708,28.18,102001.99,1.2119524
1074809741,-55.800503,28.18,101997.0,1.2118931
1074833125,-56.212708,28.189999,102001.99,1.2119524
1074844608,-56.04888,28.189999,102000.0,1.2119287
1074856847,-56.212708,28.189999,102001.99,1.2119524
1074878803,-56.12815,28.189999,102000.99,1.2119405
1074890291,-56.04888,28.189999,102000.0,1.2119287
1074900144,-55.800503,28.189999,101997.0,1.2118931
1074921142,-55.800503,28.189999,101997.0,1.2118931
1074931278,-55.879772,28.189999,101998.0,1.211905
1074941762,-56.37653,28.189999,102004.0,1.2119763
1074964734,-56.12815,28.199999,102000.99,1.2119405
1074975284,-56.29726,28.199999,102003.0,1.2119644
1074985737,-56.04888,28.199999,102000.0,1.2119287
1075006725,-55.71595,28.199999,101996.0,1.2118812
1075018418,-56.12815,28.199999,102000.99,1.2119405
1075029006,-55.631397,28.199999,101994.99,1.2118692
1075049775,-55.71595,28.189999,101996.0,1.2118812
1075062260,-55.552128,28.189999,101994.0,1.2118574
1075073524,-55.71595,28.189999,101996.0,1.2118812
1075097484,-55.800503,28.199999,101997.0,1.2118931
1075108277,-56.04888,28.199999,102000.0,1.2119287
1075118725,-55.96433,28.199999,101999.0,1.2119168
1075141031,-56.12815,28.199999,102000.99,1.2119405
1075152347,-55.879772,28.199999,101998.0,1.211905
1075161939,-55.38302,28.199999,101992.0,1.2118337
1075183049,-55.46757,28.199999,101993.0,1.2118455
1075194454,-55.631397,28.199999,101994.99,1.2118692
1075205337,-55.71595,28.199999,101996.0,1.2118812
1075229081,-55.631397,28.199999,101994.99,1.2118692
1075240345,-55.30375,28.199999,101991.0,1.2118218
1075249926,-56.461082,28.199999,102005.0,1.2119881
1075273983,-55.552128,28.21,101994.0,1.2118574
1075286284,-55.552128,28.21,101994.0,1.2118574
1075296111,-55.71595,28.21,101996.0,1.2118812
1075319730,-55.46757,28.21,101993.0,1.2118455
1075331137,-55.38302,28.21,101992.0,1.2118337
1075341320,-55.46757,28.21,101993.0,1.2118455
1075363074,-55.46757,28.21,101993.0,1.2118455
1075375497,-55.800503,28.21,101997.0,1.2118931
1075386729,-55.46757,28.21,101993.0,1.2118455
1075410724,-55.46757,28.199999,101993.0,1.2118455
1075421776,-55.38302,28.199999,101992.0,1.2118337
1075432727,-55.05537,28.199999,101988.0,1.2117862
1075454771,-55.552128,28.199999,101994.0,1.2118574
1075467062,-55.219193,28.199999,101990.0,1.2118099
1075478125,-54.80699,28.199999,101985.0,1.2117505
1075500724,-55.71595,28.21,101996.0,1.2118812
1075511467,-55.219193,28.21,101990.0,1.2118099
1075522724,-55.05537,28.21,101988.0,1.2117862
1075546724,-55.30375,28.21,101991.0,1.2118218
1075558630,-55.13464,28.21,101988.99,1.211798
1075570589,-55.38302,28.21,101992.0,1.2118337
1075594574,-54.88626,28.21,101986.0,1.2117624
1075606645,-55.05537,28.21,101988.0,1.2117862
1075618571,-55.13464,28.21,101988.99,1.211798
1075642444,-55.219193,28.21,101990.0,1.2118099
1075655319,-55.219193,28.21,101990.0,1.2118099
1075665765,-54.970818,28.21,101987.0,1.2117742
1075688726,-54.88626,28.21,101986.0,1.2117624
1075700358,-55.219193,28.21,101990.0,1.2118099
1075711623,-55.05537,28.21,101988.0,1.2117862
1075733728,-55.05537,28.21,101988.0,1.2117862
1075745314,-54.970818,28.21,101987.0,1.2117742
1075755729,-55.219193,28.21,101990.0,1.2118099
1075778842,-54.80699,28.21,101985.0,1.2117505
1075791182,-55.219193,28.21,101990.0,1.2118099
1075801765,-55.13464,28.21,101988.99,1.211798
1075823411,-54.637882,28.21,101982.99,1.2117267
1075834556,-54.637882,28.21,101982.99,1.2117267
1075845726,-54.80699,28.21,101985.0,1.2117505
1075867734,-54.55333,28.21,101982.0,1.2117149
1075879904,-54.80699,28.21,101985.0,1.2117505
1075890908,-54.72244,28.21,101984.0,1.2117386
1075913725,-55.05537,28.22,101988.0,1.2117862
1075925313,-54.30495,28.22,101979.0,1.2116792
1075935728,-54.55333,28.22,101982.0,1.2117149
1075959552,-54.72244,28.22,101984.0,1.2117386
1075971372,-54.970818,28.22,101987.0,1.2117742
1075980811,-54.72244,28.22,101984.0,1.2117386
1076003858,-55.38302,28.22,101992.0,1.2118337
1076015852,-55.38302,28.22,101992.0,1.2118337
1076026725,-54.389503,28.22,101980.0,1.2116911
1076048952,-54.55333,28.23,101982.0,1.2117149
1076060278,-54.970818,28.23,101987.0,1.2117742
1076070762,-54.72244,28.23,101984.0,1.2117386
1076091850,-54.47406,28.22,101981.0,1.211703
1076103903,-54.47406,28.22,101981.0,1.211703
1076114725,-54.22568,28.22,101978.0,1.2116673
1076136820,-54.389503,28.23,101980.0,1.2116911
1076148284,-54.637882,28.23,101982.99,1.2117267
