timestamp,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],n_states,vibe[0],vibe[1],vibe[2],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],control_mode_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,gps_check_fail_flags,filter_fault_flags,innovation_check_flags,solution_status_flags,nan_flags,health_flags,timeout_flags,pre_flt_fail
1060172972,0.9964891,-0.013269839,-0.004120009,-0.082561105,-0.0065430934,-0.015242459,0.02946774,3.872345,-3.1577532,0.14936739,9.7170385e-05,-0.00010213639,-8.2321657e-07,-0.00014747163,0.00019576767,-8.594342e-05,0.2392643,0.052960288,0.39006686,-0.0023671773,-4.7829024e-05,0.0059983563,0.0,0.0,0.0,3.0824043e-10,5.9806057e-06,0.00040804927,2.7335858e-07,3.9777988e-06,3.978234e-06,3.551738e-05,0.01215268,0.012153087,0.006032237,0.0502205,0.050220825,0.046972483,1.0439257e-11,1.0442507e-11,1.810163e-11,1.3008083e-08,1.301295e-08,1.0000074e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663,0.31692478,0.21673137,0.007027985,0.01265045,0.024416229,0.004960869,0.0,0.0,0.0,8e-06,0,0,0,831,0,0,0,0
1060377768,0.9964858,-0.013244521,-0.0041314554,-0.082605705,-0.0059840577,-0.0155403,0.02894642,3.8733006,-3.1512008,0.14841479,9.714374e-05,-0.00010213019,-8.333038e-07,-0.00014747257,0.0001957698,-8.479501e-05,0.2392643,0.052960288,0.39006686,-0.0023671773,-4.7829024e-05,0.0059983563,0.0,0.0,0.0,2.9406604e-09,4.4739987e-05,0.0012665886,2.7379724e-07,3.9837096e-06,3.9841266e-06,3.552284e-05,0.012200637,0.012201032,0.006067019,0.05043825,0.050438594,0.047462985,1.0443888e-11,1.0447127e-11,1.8103631e-11,1.300906e-08,1.3013927e-08,1.00000745e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663,0.31761116,0.21786001,0.047119573,0.0060121915,0.024716603,0.020328416,0.0,0.0,0.0,6e-06,0,0,0,831,0,0,0,0
1060581778,0.9964798,-0.012899335,-0.0037846537,-0.08274827,-0.0063323565,-0.013445143,0.024734082,3.8736386,-3.1482747,0.14784174,9.713689e-05,-0.00010212781,-7.662103e-07,-0.00014747241,0.00019577063,-8.400333e-05,0.2392643,0.052960288,0.39006686,-0.0023671773,-4.7829024e-05,0.0059983563,0.0,0.0,0.0,1.2177596e-08,0.00013333213,0.0038373272,2.7400347e-07,3.9841707e-06,3.984423e-06,3.556564e-05,0.01220293,0.012203309,0.0060461215,0.050373346,0.050373677,0.04718646,1.04452376e-11,1.044847e-11,1.8113245e-11,1.3009998e-08,1.3014866e-08,1.0000037e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663,0.3174067,0.21722445,0.014267771,0.010612367,0.019977689,0.020427585,0.0,0.0,0.0,1.5e-05,0,0,0,831,0,0,0,0
1060781725,0.99647176,-0.012879818,-0.0036964817,-0.08285197,-0.004558238,-0.015736882,0.028304966,3.8735225,-3.143938,0.13376154,9.71206e-05,-0.00010213212,-6.6520187e-07,-0.00014747411,0.00019577492,-8.137755e-05,0.2392643,0.052960288,0.39006686,-0.0023671773,-4.7829024e-05,0.0059983563,0.0,0.0,0.0,1.1749864e-07,0.00042170196,0.008693399,2.735959e-07,3.983304e-06,3.9835654e-06,3.5607907e-05,0.012186002,0.012186323,0.0060252696,0.050237793,0.05023812,0.046903573,1.0444336e-11,1.0447564e-11,1.8120927e-11,1.3010924e-08,1.3015791e-08,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663,0.31697935,0.21657233,0.07995226,0.022400776,0.01917408,0.035778135,0.0,0.0,0.0,-4e-05,0,0,0,831,0,0,0,0
1060986568,0.9964292,-0.010064857,-0.0022245497,-0.08380135,-0.022925813,0.0070442045,-0.0150063755,3.873731,-3.1403034,0.15148872,9.7109696e-05,-0.00010212427,-5.6681756e-07,-0.00014746997,0.00019576914,-8.358473e-05,0.2392643,0.052960288,0.39006686,-0.0023671773,-4.7829024e-05,0.0059983563,0.0,0.0,0.0,1.030479e-06,0.0012351343,0.029036868,2.777074e-07,3.9891243e-06,3.9878496e-06,3.5610155e-05,0.012262785,0.0122631155,0.006056443,0.050422937,0.05042327,0.047352698,1.0447682e-11,1.0450899e-11,1.8120653e-11,1.3011885e-08,1.3016752e-08,1.0000036e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663,0.3175629,0.21760675,0.04566272,0.012056518,0.017904619,0.055189762,0.0,0.0,0.0,-3e-05,0,0,0,831,0,0,0,0
1061190546,0.99527925,0.019827832,-0.011388954,-0.09432066,-0.091757804,0.2632122,-1.1588196,3.8624613,-3.1138654,0.038817964,9.7120224e-05,-0.000102129525,-4.3164383e-07,-0.00014747192,0.00019576399,-8.243808e-05,0.2392643,0.052960288,0.39006686,-0.0023671773,-4.7829024e-05,0.0059983563,0.0,0.0,0.0,1.798427e-06,0.0018529237,0.04774447,3.4634465e-07,3.9886154e-06,3.9945458e-06,3.5520243e-05,0.012986787,0.012978632,0.0060352273,0.050411683,0.050412025,0.047066607,1.0447412e-11,1.04506525e-11,1.8118094e-11,1.301282e-08,1.3017688e-08,1.0000037e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663,0.3175275,0.21694839,0.06816853,0.07225663,0.018625684,0.014371616,0.0,0.0,0.0,-1.6e-05,0,0,0,831,0,0,0,0
1061390566,0.9950785,-0.030221809,-0.015223965,-0.0931334,-0.17017446,0.42652518,-1.7883117,3.8295064,-3.047153,-0.2697559,9.717702e-05,-0.0001021731,-3.0678623e-07,-0.00014754235,0.0001956463,-8.287332e-05,0.2392643,0.052960288,0.39006686,-0.0023671773,-4.7829024e-05,0.0059983563,0.0,0.0,0.0,1.8136358e-06,0.0018150214,0.04618322,3.3670568e-07,3.9790743e-06,3.99607e-06,3.5494442e-05,0.013347467,0.013326861,0.0060176183,0.050460473,0.050460536,0.046793588,1.0438118e-11,1.0441576e-11,1.8113002e-11,1.3013504e-08,1.3018374e-08,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663,0.31768066,0.21631825,0.055867106,0.04629637,0.014414237,0.030062089,0.0,0.0,0.0,3e-06,0,0,0,831,0,0,0,0
1061595372,0.99336654,-0.056308717,-0.02875846,-0.09604884,-0.21855883,0.46260166,-1.8888497,3.7890515,-2.9409935,-0.63092226,9.712825e-05,-0.00010220679,-1.9557814e-07,-0.00014760258,0.00019574918,-8.563014e-05,0.2392643,0.052960288,0.39006686,-0.0023671773,-4.7829024e-05,0.0059983563,0.0,0.0,0.0,1.4264667e-06,0.001733951,0.04156143,3.65737e-07,3.978241e-06,4.051999e-06,3.5380424e-05,0.013357543,0.013338079,0.0060098604,0.050689764,0.050688926,0.046648625,1.042772e-11,1.0431442e-11,1.8107975e-11,1.3014077e-08,1.30189495e-08,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663,0.3184002,0.21598293,0.09165618,0.027207956,0.016625514,0.005238805,0.0,0.0,0.0,7e-06,0,0,0,831,0,0,0,0
1061799358,0.99195755,-0.068719186,-0.03600719,-0.10000798,-0.17103815,0.42090312,-1.8587539,3.7460155,-2.846816,-0.997962,9.715432e-05,-0.00010223364,-6.461127e-08,-0.00014765229,0.00019573886,-8.8759276e-05,0.2392643,0.052960288,0.39006686,-0.0023671773,-4.7829024e-05,0.0059983563,0.0,0.0,0.0,1.0484176e-06,0.0018049167,0.040045526,3.9909722e-07,3.9790534e-06,4.089456e-06,3.5286645e-05,0.013302908,0.013288224,0.0060082236,0.051067628,0.05106562,0.04660833,1.0422388e-11,1.042636e-11,1.8106575e-11,1.3014712e-08,1.3019579e-08,1.0000037e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663,0.3195829,0.21588962,0.045600843,0.026435684,0.01351808,0.0008237314,0.0,0.0,0.0,-5e-06,0,0,0,831,0,0,0,0
1062000168,0.9921678,-0.06699296,-0.03336878,-0.10000814,-0.10473048,0.29225892,-1.8776469,3.7303114,-2.7745447,-1.3704568,9.715282e-05,-0.00010218768,2.9529033e-08,-0.00014755916,0.00019574388,-8.8267996e-05,0.2392643,0.052960288,0.39006686,-0.0023671773,-4.7829024e-05,0.0059983563,0.0,0.0,0.0,7.9650744e-07,0.0017234804,0.03675238,3.9566135e-07,3.958936e-06,4.067529e-06,3.528172e-05,0.013214112,0.013209439,0.005991731,0.051135007,0.05113238,0.046383534,1.04142415e-11,1.0418419e-11,1.8101607e-11,1.30153435e-08,1.30202e-08,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663,0.31979272,0.21536836,0.023635492,0.031726036,0.009907216,0.0064662383,0.0,0.0,0.0,4e-06,0,0,0,831,0,0,0,0
