timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
1060164446,0.2270425,0.07113986,0.353289
1060188572,0.2120709,0.06814986,0.36549503
1060212455,0.2120709,0.077119835,0.38380408
1060236445,0.22105384,0.07412984,0.38075256
1060260445,0.21805952,0.07113986,0.37770107
1060282446,0.2120709,0.077119835,0.37464958
1060305754,0.22105384,0.077119835,0.37464958
1060330664,0.22105384,0.086089805,0.38380408
1060354772,0.22404817,0.07412984,0.36549503
1060378826,0.21805952,0.08010982,0.37770107
1060402619,0.22105384,0.07412984,0.38075256
1060424446,0.21805952,0.07113986,0.36549503
1060446445,0.2120709,0.07412984,0.38380408
1060468452,0.2120709,0.07412984,0.38380408
1060490536,0.21506521,0.08010982,0.3929586
1060512453,0.22105384,0.083099805,0.3868556
1060534164,0.22105384,0.083099805,0.3868556
1060554569,0.22404817,0.077119835,0.353289
1060576453,0.22105384,0.086089805,0.39601013
1060599370,0.22404817,0.08907979,0.3929586
1060622383,0.21805952,0.07412984,0.37770107
1060646367,0.21506521,0.07412984,0.37770107
1060667432,0.21805952,0.07412984,0.38075256
1060689336,0.2120709,0.08010982,0.3868556
1060714560,0.22105384,0.083099805,0.38075256
1060736493,0.22105384,0.08010982,0.34718597
1060762595,0.22105384,0.083099805,0.37464958
1060786559,0.22404817,0.086089805,0.37464958
1060810638,0.2120709,0.08010982,0.38990712
1060834805,0.21506521,0.083099805,0.3929586
1060856446,0.21506521,0.08010982,0.3563405
1060879244,0.2120709,0.092069775,0.38075256
1060902965,0.2120709,0.10402974,0.39601013
1060924501,0.21506521,0.110009715,0.38075256
1060947490,0.21506521,0.11598969,0.37159804
1060968545,0.22404817,0.118979685,0.353289
1060989536,0.2270425,0.118979685,0.3502375
1061012444,0.21506521,0.11598969,0.38075256
1061035375,0.2120709,0.110009715,0.37770107
1061057572,0.21506521,0.110009715,0.3929586
1061080445,0.21506521,0.101039745,0.37770107
1061102966,0.22404817,0.09505977,0.37159804
1061124489,0.22105384,0.09505977,0.38075256
1061145488,0.2270425,0.083099805,0.36549503
1061168445,0.22404817,0.08010982,0.38075256
1061191082,0.22105384,0.07113986,0.37159804
1061214967,0.22404817,0.07412984,0.38075256
1061239206,0.2270425,0.059179895,0.35939202
1061263501,0.22404817,0.07113986,0.37770107
1061286958,0.23003681,0.06515987,0.36854655
1061310964,0.23003681,0.059179895,0.3624435
1061332445,0.23303114,0.059179895,0.36549503
1061353488,0.23303114,0.056189906,0.36854655
1061376445,0.23901977,0.050209925,0.36549503
1061399278,0.23602545,0.059179895,0.38990712
1061421485,0.23303114,0.059179895,0.3868556
1061443922,0.23602545,0.050209925,0.3624435
1061467922,0.23602545,0.053199917,0.38075256
1061490447,0.24500841,0.050209925,0.36549503
1061513573,0.2420141,0.053199917,0.38990712
1061536087,0.2420141,0.047219936,0.36549503
1061557445,0.24500841,0.050209925,0.37464958
1061580013,0.23602545,0.050209925,0.36854655
1061604030,0.24500841,0.050209925,0.37770107
1061625546,0.23901977,0.04422995,0.37464958
1061648387,0.24500841,0.04422995,0.36549503
1061669532,0.2420141,0.04123996,0.3624435
1061691981,0.2420141,0.04123996,0.3624435
1061715993,0.23901977,0.047219936,0.37770107
1061739743,0.24800274,0.047219936,0.36854655
1061764023,0.2420141,0.04422995,0.36854655
1061787766,0.2420141,0.053199917,0.38075256
1061809570,0.2420141,0.04422995,0.37464958
1061832097,0.24500841,0.04422995,0.37159804
1061853514,0.23901977,0.03824997,0.3563405
1061875762,0.24500841,0.03824997,0.3563405
1061899755,0.23602545,0.04422995,0.37770107
1061923849,0.24500841,0.04422995,0.36549503
1061947841,0.24500841,0.04422995,0.3624435
1061970445,0.23901977,0.04422995,0.37159804
1061992993,0.24500841,0.04422995,0.37159804
1062015445,0.24800274,0.04123996,0.37464958
1062037557,0.24500841,0.04422995,0.37464958
1062060693,0.23901977,0.047219936,0.38380408
1062083452,0.23901977,0.050209925,0.38075256
1062106501,0.23901977,0.047219936,0.38380408
1062128940,0.2420141,0.04123996,0.36549503
1062150455,0.23901977,0.050209925,0.38380408
1062172723,0.23901977,0.04123996,0.3624435
1062196894,0.23901977,0.050209925,0.38075256
1062218455,0.2420141,0.04422995,0.37464958
1062240984,0.24800274,0.047219936,0.37464958
1062262537,0.2420141,0.047219936,0.36854655
1062283485,0.2420141,0.04422995,0.3624435
1062306501,0.23901977,0.050209925,0.38380408
1062328986,0.23901977,0.04422995,0.37770107
1062350498,0.23602545,0.04422995,0.37464958
1062372621,0.23602545,0.047219936,0.37770107
1062396722,0.23901977,0.047219936,0.37770107
1062420755,0.2420141,0.04123996,0.3563405
1062442453,0.2420141,0.047219936,0.37770107
1062465009,0.23303114,0.047219936,0.38075256
1062486493,0.23602545,0.050209925,0.3868556
1062507495,0.23602545,0.053199917,0.38380408
1062528540,0.23602545,0.050209925,0.38380408
1062552451,0.23303114,0.050209925,0.37770107
1062576452,0.23901977,0.050209925,0.37464958
1062600451,0.23303114,0.047219936,0.36549503
1062622445,0.23303114,0.047219936,0.36854655
1062644446,0.23003681,0.050209925,0.38075256
1062668453,0.23901977,0.047219936,0.38075256
1062690445,0.23602545,0.04422995,0.37464958
1062712444,0.23003681,0.047219936,0.3868556
1062734485,0.23003681,0.04422995,0.37464958
1062755490,0.23602545,0.047219936,0.37770107
1062777768,0.23901977,0.04422995,0.37770107
1062800445,0.23602545,0.04422995,0.38075256
1062822451,0.23602545,0.04422995,0.3868556
1062843502,0.23303114,0.04123996,0.36549503
1062865753,0.23602545,0.04422995,0.37159804
1062888444,0.23303114,0.04422995,0.38380408
1062912445,0.23602545,0.04123996,0.36549503
1062936452,0.23602545,0.050209925,0.3868556
1062960484,0.23602545,0.04422995,0.36854655
1062984452,0.23003681,0.047219936,0.38380408
1063008455,0.23901977,0.04123996,0.35939202
1063032445,0.23602545,0.03824997,0.36549503
