epoch,loss,mae,val_loss,val_mae
0,0.6620058417320251,0.2940879166126251,0.6444365978240967,0.3035238981246948
1,0.5662950277328491,0.27232062816619873,0.5981199741363525,0.2930479049682617
2,0.5354917645454407,0.26376616954803467,0.576892614364624,0.28597307205200195
3,0.5163102746009827,0.2529643476009369,0.5526427626609802,0.271436870098114
4,0.48595064878463745,0.2223125547170639,0.5146428346633911,0.23964203894138336
5,0.4573918879032135,0.2031356394290924,0.5030169486999512,0.23216140270233154
6,0.443508505821228,0.19710583984851837,0.49363580346107483,0.22908419370651245
7,0.4326850175857544,0.1928303986787796,0.4817914068698883,0.22498629987239838
8,0.42412278056144714,0.18965710699558258,0.4749467968940735,0.2232392281293869
9,0.4167144000530243,0.1870104819536209,0.46642303466796875,0.22084060311317444
10,0.4094538986682892,0.1848958283662796,0.45592793822288513,0.21866677701473236
11,0.4020349979400635,0.18170283734798431,0.4460080862045288,0.2161460816860199
12,0.3942160904407501,0.17884868383407593,0.44000017642974854,0.21472884714603424
13,0.38817960023880005,0.17696291208267212,0.43193936347961426,0.21331235766410828
14,0.38189923763275146,0.17474505305290222,0.4262714385986328,0.21214675903320312
15,0.37511688470840454,0.1722283959388733,0.4216358959674835,0.21057800948619843
16,0.36934971809387207,0.17021963000297546,0.4175233840942383,0.21006658673286438
17,0.3651449978351593,0.16840700805187225,0.41114142537117004,0.20825065672397614
18,0.3604762852191925,0.16647441685199738,0.40922975540161133,0.2070554494857788
19,0.3564409017562866,0.16491588950157166,0.4070572555065155,0.20769855380058289
20,0.3523980677127838,0.16317366063594818,0.4027150869369507,0.20486876368522644
21,0.34903836250305176,0.16191549599170685,0.4039766788482666,0.20500531792640686
22,0.3453921973705292,0.1601361632347107,0.4023348093032837,0.20556524395942688
23,0.34384194016456604,0.1594100445508957,0.4001760482788086,0.20466414093971252
24,0.34099501371383667,0.15822143852710724,0.39914387464523315,0.20420852303504944
25,0.3376402258872986,0.1568332463502884,0.39937472343444824,0.20391930639743805
26,0.3354635238647461,0.15569429099559784,0.39385920763015747,0.2011430561542511
27,0.333018958568573,0.15453514456748962,0.39283353090286255,0.20055541396141052
28,0.33159831166267395,0.1537705361843109,0.394056499004364,0.2012907713651657
29,0.33030766248703003,0.15309180319309235,0.3917946219444275,0.20104537904262543
30,0.32874614000320435,0.15250073373317719,0.38888800144195557,0.19825372099876404
31,0.3264622390270233,0.15123389661312103,0.3898826837539673,0.2000126987695694
32,0.3244093358516693,0.15036076307296753,0.3870285153388977,0.19927220046520233
33,0.32318925857543945,0.14976240694522858,0.3845546245574951,0.19655205309391022
34,0.32181626558303833,0.14894431829452515,0.3824491500854492,0.19527293741703033
35,0.32102617621421814,0.14834868907928467,0.3875278830528259,0.19908493757247925
36,0.3186914026737213,0.14755207300186157,0.380935400724411,0.19522294402122498
37,0.3178792893886566,0.14689040184020996,0.38325613737106323,0.19596487283706665
38,0.317302942276001,0.14653177559375763,0.3817639648914337,0.1946508139371872
39,0.31616607308387756,0.14577984809875488,0.3791707158088684,0.19482627511024475
40,0.31491819024086,0.14527998864650726,0.37698492407798767,0.19236543774604797
41,0.31288644671440125,0.1444101482629776,0.38061270117759705,0.1943424642086029
42,0.31213465332984924,0.14343124628067017,0.3740903437137604,0.19191718101501465
43,0.31121256947517395,0.14312168955802917,0.3738309442996979,0.19227023422718048
