w_x,w_y,w_z,a_x,a_y,a_z,m_x,m_y,m_z,h,Vn,Ve,Vd,Pn,Pe,Pd
-0.010704094733333332,0.0016818537353333334,0.0003484925724000001,-0.1846976213333333,0.24952531600000002,-9.724276766666668,0.005122108928,-0.17677265200000003,0.24941360799999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0069860872788,0.0016992797311000001,0.0008419212585999996,-0.18797800740000004,0.2518032114000001,-9.713624580000005,0.008314803581249999,-0.18088328062499998,0.24929508625000005,0.0867563883463518,0.0,0.0,0.0,0.0,0.0,0.0
-0.004781830914800001,0.0010790263615399996,0.0005970630154000005,-0.1862045214,0.26350919940000006,-9.710724110000003,0.005939224167058822,-0.1788229017647059,0.25042825647058825,0.003523190816245858,0.0,0.0,0.0,0.0,0.0,0.0
-0.004271739368999999,0.0014949712461,0.0007427402129,-0.18725854019999996,0.2534377970000001,-9.714546890000003,0.005710351749999999,-0.17998388562499998,0.24960406625,-0.07046254475911695,0.0,0.0,0.0,0.0,0.0,0.0
-0.005268608235600001,0.0010693435202000002,0.0006680274628000002,-0.1846437256,0.2542217106,-9.70656351,0.004459376749999999,-0.17906310785714286,0.2500167464285714,-0.050924416744344114,0.0,0.0,0.0,0.0,0.0,0.0
-0.006229665237600002,0.0014389686155679999,0.0011911667083599998,-0.18078997620000004,0.24962697499999997,-9.712339759999997,0.00567332026875,-0.18043121562500003,0.24905094437499997,0.11522113915645349,0.0,0.0,0.0,0.0,0.0,0.0
-0.0042320789648,0.0014085597240360004,0.0011301077899200003,-0.1894766245999999,0.24678158480000006,-9.717838839999997,0.006545296293333333,-0.180307508,0.24885460600000003,-0.11522113915645349,0.009150636,0.00039814855,0.06496875,0.00093915436,3.5816724e-05,-0.04299062
-0.004652714094599999,0.0014532164646000006,0.0010050146640399999,-0.18398827860000005,0.24721848719999998,-9.70845675,0.0065291398349999995,-0.18103799374999996,0.24845864125,0.011729991797245987,0.014330399,-0.00034920778,0.08304845,0.0017642756,1.3425295e-05,-0.01593395
-0.008950537734,0.0014098427242740003,0.0009067870126399998,-0.18607496419999994,0.25008281800000004,-9.70725542,0.005826466364000001,-0.179040104,0.249883818,-0.1049317157629801,0.017605668,-0.00083018414,0.101187445,0.002635597,-0.00012302803,0.0022848367
-0.003686894573823529,0.0007880374428333336,0.0006505894027450982,-0.19117691960784314,0.2507675192156863,-9.710125411764704,0.0054239637,-0.18001763250000002,0.24961370437499997,-0.02057849999629724,0.019178638,-0.0011159027,0.121648826,0.0032020342,-0.00015666902,0.036735307
-0.007262590472000003,0.00157880576364,0.0008114924383200001,-0.1879517336,0.24791912540000002,-9.712904810000003,0.005479590631249999,-0.18005706312499997,0.24907116562500003,0.12374814351399266,0.018175367,-0.0020029289,0.14376883,0.0034231856,-0.00028913724,0.082392134
-0.005325455474800001,0.00137366127364,0.00029495591134,-0.18542085460000002,0.24531437379999996,-9.704082289999999,0.00671101256,-0.179982984375,0.24974603625,-0.0422770182291643,0.017014166,-0.002140947,0.16021384,0.0031860147,-0.00035559075,0.104848295
-0.0041882589472,0.0014318733696000005,0.0007628332373199999,-0.1865401002,0.2439517375999999,-9.705023149999999,0.007312354052941177,-0.1802421911764706,0.24931274058823527,-0.016767941988433677,0.01632634,-0.0011759803,0.17692308,0.003062509,-0.00031768344,0.12927693
-0.0096141934822,0.0022662141757600006,0.00123431827475,-0.18375418019999995,0.25630637339999995,-9.70026482,0.006671804758823531,-0.18045662000000004,0.2491603870588235,0.003252176138076379,0.015157834,-0.000742373,0.19376428,0.0030587018,-0.00026596908,0.1575264
-0.005351105653333334,0.001513736999117647,0.00023003958128039198,-0.18506616372549017,0.24355518941176474,-9.700577215686273,0.005322936859999999,-0.179709210625,0.24872969124999994,-0.06399157108405262,0.013361274,-0.0005819553,0.21022996,0.003121214,-0.00017945448,0.190255
-0.00388372490268,0.0011644493969940003,0.000596183075,-0.1884523378,0.2485339900000001,-9.69963024,0.00473501065625,-0.17952915187500001,0.24857839375000007,0.09071985880534328,0.013395234,-0.00012971747,0.22780357,0.002891211,-7.259569e-05,0.22614126
-0.006649631174399999,0.0015831222619999996,0.0013095741516799997,-0.19214392299999997,0.2476764678,-9.70536386,0.00675990673125,-0.18096482062500002,0.24899154750000002,-0.15853945414225734,0.010905719,-0.0011999264,0.23887196,0.002608519,-0.00011630426,0.24968135
-0.006419677164199997,0.0014153414522000002,0.0009497214483400002,-0.18956436259999998,0.24520498059999996,-9.698457190000001,0.0041066091475,-0.17955720562499997,0.24914020562500003,0.04844252268473781,0.009393169,-0.0023069063,0.25507674,0.0024680959,-0.00026228945,0.29168746
-0.005972241430199999,0.0016360066356000003,0.0006339790072400001,-0.1869360198,0.24869200839999997,-9.704820190000001,0.005599152912499999,-0.180378630625,0.24977432875,0.11053721110025805,0.008035422,-0.0028072018,0.26808316,0.002219351,-0.00048740362,0.3274549
-0.005434243500000001,0.0014077363417647057,0.0008610814719019607,-0.1851232074509804,0.24256561960784315,-9.714151950980392,0.004617032456249999,-0.1803926875,0.24945151124999995,-0.12462933858235914,0.006323229,-0.002602596,0.26628277,0.001870447,-0.00055135577,0.33310413
-0.0029808224262000012,0.0016276731695999997,0.0008119523680599998,-0.192521639,0.2504331276000001,-9.70371134,0.006660287613333333,-0.18013645066666667,0.24904784333333332,0.056329264785304645,0.0059171496,-0.0012842657,0.272902,0.0015847023,-0.00046858776,0.36247224
-0.007933410750000003,0.0019495836867199998,0.00114141991574,-0.1883437452,0.24831004679999996,-9.709347609999998,0.006353152852941175,-0.1806764270588235,0.24848832588235295,-0.028381961208957307,0.004386045,-0.0019901309,0.27676505,0.0013322732,-0.0004401941,0.3848257
-0.0059173362266,0.0019272716087399997,0.00113635164282,-0.19115715842000008,0.2512566978,-9.70742117,0.004386269744999999,-0.18046586000000003,0.248918613125,-0.05425062379637069,0.0030833564,-0.0018429377,0.28112942,0.0011353648,-0.00047784724,0.41070607
-0.00705158301282,0.00180205613228,0.0008958636992000002,-0.18341964300000005,0.2513661044,-9.698485640000003,0.006092445033333332,-0.17948126333333328,0.24928354200000005,-0.05604963591603962,0.0018345373,-0.0024006404,0.27961823,0.00090449495,-0.00048929884,0.4231395
-0.0061463317131372555,0.0012960999710392154,0.0007377214981568628,-0.18760512835294116,0.2518876374509804,-9.699888950980393,0.005226894750000001,-0.18035149437500003,0.24907054312500004,0.019377390543617423,0.0008884483,-0.0014658296,0.2878264,0.0006758715,-0.00049199705,0.45567217
-0.008878404715799999,0.0018274515490800001,0.00025337591774,-0.18688696260000004,0.25892245880000003,-9.700046900000002,0.006357243481250001,-0.17949536312500003,0.24977621437500006,-0.013651847839355469,0.00039882842,-0.0013272879,0.29029575,0.00044223596,-0.0003921655,0.47718978
-0.006143023776,0.0015987076425000002,0.0007427764386999998,-0.18773153200000003,0.24058054119999994,-9.71327816,0.0041655288537499995,-0.17841500312499997,0.25007586749999994,-0.01645426316694909,-0.00088802224,-0.0012900302,0.29059535,0.00027502154,-0.00036024282,0.49445534
-0.001250747180059999,0.0018438513384000002,0.0009323227393199998,-0.19007567340000006,0.2577233099999999,-9.6958068,0.004406879704,-0.18005425066666667,0.24990238266666667,-0.05929195519649255,0.00083554303,-0.00077492686,0.28921205,0.000245971,-0.00033132453,0.5151372
