w_x,w_y,w_z,a_x,a_y,a_z,m_x,m_y,m_z,h,T,q0,q1,q2,q3,Vn,Ve,Vd,Pn,Pe,Pd
1.155838035199999947e+00,-4.289284774799999589e-01,2.097970665400000212e-01,-1.658505806799999815e+00,2.598969353200000221e-01,-9.377115171999999887e+00,3.342164222222222536e-01,1.208445538888888726e-01,2.460086944444444534e-01,4.193927342857143081e+00,2.638999999999999346e+01,9.532875400000000443e-01,-9.220680000000000542e-02,-1.309471700000000016e-01,-2.561127000000000264e-01,5.745608999999999966e+00,-1.779096500000000081e+00,-7.992249999999999632e-01,8.821609000000000478e+00,8.894630000000000036e-01,-2.323838499999999918e+00
8.786321234615385167e-01,3.536497422500000098e-01,3.584158513653846190e-01,-1.970027504038461386e+00,4.468964816346153723e-01,-9.385034449999999140e+00,3.507296088888888774e-01,1.603762555555555691e-01,2.002053177777777804e-01,4.292143223076923420e+00,2.638999999999999346e+01,9.584141000000000465e-01,7.777849699999999679e-03,-2.004933000000000132e-01,-2.029398699999999944e-01,6.058610999999999969e+00,-1.867658999999999958e+00,-7.142357999999999763e-01,1.007548599999999972e+01,4.983595000000000108e-01,-2.551331799999999816e+00
1.616732144399999904e-01,9.383056429999999670e-01,-9.641124055999998610e-02,-1.815930347799999733e+00,6.695432075999999677e-01,-1.161971337599999998e+01,3.147308533333333380e-01,1.770383788888888754e-01,2.302747088888888738e-01,5.431476657142856546e+00,2.638999999999999346e+01,9.716685400000000250e-01,8.299918500000000310e-02,-1.559145999999999865e-01,-1.570417899999999867e-01,6.528731299999999571e+00,-1.530921999999999894e+00,-6.977257999999999516e-01,1.135975200000000029e+01,1.775757000000000030e-01,-2.761051000000000144e+00
1.547016242260000063e-01,7.723688062200001481e-02,-1.752554352200000054e-01,-2.216288598000000221e+00,7.154448052000000891e-01,-1.269062371599999928e+01,2.807136688888889342e-01,1.969675855555555744e-01,2.571973066666666807e-01,5.938918092307692298e+00,2.638999999999999346e+01,9.779607700000000348e-01,1.105968100000000037e-01,-7.689988000000000379e-02,-1.595227700000000082e-01,6.786911500000000430e+00,-8.864760999999999891e-01,-1.097208500000000031e+00,1.270905600000000035e+01,-5.925144999999999718e-02,-3.123011800000000004e+00
3.742981603846153305e-01,-1.942824650326923086e-01,-6.748177329807691915e-02,-2.048913941884615397e+00,4.251663286538462927e-01,-1.137719099423076941e+01,2.793926200000000359e-01,2.182036222222222266e-01,2.376172355555555560e-01,6.029773259999999802e+00,2.638999999999999346e+01,9.728055599999999581e-01,1.298545700000000025e-01,-7.945125000000000104e-02,-1.745702899999999891e-01,6.894617600000000124e+00,-4.308353999999999656e-02,-1.652193199999999917e+00,1.414746099999999984e+01,-1.442744400000000038e-01,-3.618459500000000162e+00
-6.102231406600000518e-01,-1.014583620939999986e-01,-1.588572647800000001e-02,-2.045806132000000499e+00,-1.388089961339999678e-01,-9.288482491999999979e+00,2.853373622222222239e-01,2.302918255555555238e-01,2.201350333333333131e-01,5.592570999999998627e+00,2.638769230769230134e+01,9.635777500000000106e-01,1.667935700000000021e-01,-1.073078140000000014e-01,-1.793958499999999956e-01,7.024365399999999759e+00,7.570869000000000071e-01,-1.840771600000000063e+00,1.555915399999999948e+01,-6.169938299999999654e-02,-4.087768999999999764e+00
-7.233333433799999934e-01,5.585943968519999636e-01,1.510984626999999775e-02,-2.039904006599999597e+00,1.016839249000000278e-01,-9.249393939999999148e+00,2.797228733333333439e-01,1.623365055555555658e-01,2.813227411111111076e-01,5.906600538461537653e+00,2.639076923076922654e+01,9.740146400000000426e-01,6.932606500000000616e-02,-9.574322999999999861e-02,-1.931904100000000069e-01,7.122861399999999676e+00,1.263213799999999942e+00,-1.650594700000000081e+00,1.699599500000000063e+01,1.201900699999999961e-01,-4.460032499999999622e+00
4.250831094999999449e-01,6.926492530000001313e-01,-1.122017613599999956e-02,-1.837770822400000226e+00,-2.222600627999999912e-01,-1.015503410200000012e+01,2.324951411111111088e-01,1.688706722222222123e-01,3.141892744444444996e-01,6.861697269230768725e+00,2.637769207692307916e+01,9.793414000000000286e-01,4.845561000000000312e-02,-2.121389099999999861e-02,-1.951729799999999959e-01,7.024841300000000288e+00,1.541653399999999952e+00,-1.594348000000000098e+00,1.843906199999999984e+01,3.924781700000000151e-01,-4.795905000000000307e+00
-9.931707344230770174e-01,-1.311694873653846197e-02,6.213374818028846724e-03,-1.462251737942307672e+00,-3.513594136538461532e-01,-1.039682803076922823e+01,2.011200777777777671e-01,1.541687988888888750e-01,3.428600966666666694e-01,7.184818993333332848e+00,2.637999999999999901e+01,9.763685500000000017e-01,8.652347000000000510e-02,4.028634700000000013e-02,-1.938953099999999874e-01,6.729357000000000255e+00,1.953064200000000028e+00,-1.684282099999999893e+00,1.990677600000000069e+01,7.523627999999999982e-01,-5.235603000000000229e+00
-9.838742446000000585e-01,-2.698736045800000372e-01,-2.189509176240000531e-03,-1.697615109400000266e+00,-1.238713346519999814e-01,-1.047383698000000152e+01,2.225872266666666932e-01,5.648302288888887995e-02,3.673351866666666465e-01,7.259552641666665806e+00,2.636999900000000352e+01,9.809658999999999462e-01,-3.268796599999999886e-02,4.167122000000000187e-02,-1.868180200000000013e-01,6.244512600000000191e+00,2.195317300000000138e+00,-1.783428900000000095e+00,2.120761999999999858e+01,1.171383000000000063e+00,-5.661118000000000094e+00
-4.106830185600000571e-01,7.016068181920001590e-02,-1.587918505999999725e-04,-1.660099898399999718e+00,-1.189815268000000287e-01,-1.071638789200000019e+01,2.318346144444444479e-01,-1.671050542888889321e-03,3.757266444444444797e-01,7.388680314285713813e+00,2.636999900000000352e+01,9.744000000000000439e-01,-1.243208100000000038e-01,3.582808700000000152e-02,-1.838624299999999934e-01,5.713371300000000375e+00,1.991822999999999899e+00,-1.870837599999999989e+00,2.244756100000000032e+01,1.597069400000000083e+00,-6.057833999999999719e+00
-6.444949236400000780e-02,4.486946041999999579e-01,4.714916302999998948e-02,-1.291785756199999691e+00,3.802390422000003628e-02,-1.055617632799999939e+01,2.077253533333333346e-01,-2.127354666666666713e-02,3.942577811111111497e-01,7.623295015384614182e+00,2.636999900000000352e+01,9.685911499999999563e-01,-1.517175900000000133e-01,5.784196400000000265e-02,-1.883279099999999873e-01,5.144505500000000175e+00,1.581814199999999948e+00,-1.940727599999999997e+00,2.358766400000000019e+01,1.983330800000000060e+00,-6.427942999999999962e+00
2.667235678494230822e-01,-2.778690100865384149e-01,3.631137170384615004e-02,-8.356967641346153552e-01,5.433282838269231085e-01,-1.109441152115384632e+01,1.780016011111111296e-01,-2.225367199999999865e-02,4.089428233333333718e-01,8.095538413333333239e+00,2.636199900000000440e+01,9.654519599999999979e-01,-1.475778000000000090e-01,1.061876640000000011e-01,-1.866748199999999913e-01,4.429207299999999847e+00,1.081397900000000023e+00,-1.946711000000000080e+00,2.459110499999999888e+01,2.211838000000000193e+00,-6.806934000000000040e+00
1.150122643440000259e+00,-3.636511972000000537e-01,-4.406686144000000228e-03,-1.692384833099999986e+00,-8.201181770000004478e-02,-1.086073678400000020e+01,2.556136155555555622e-01,7.281843568888889118e-02,3.358672144444444507e-01,7.495853969230768854e+00,2.635999900000000196e+01,9.796835999999999878e-01,-9.115842000000000389e-02,1.469918500000000003e-02,-1.780289899999999981e-01,3.757628700000000155e+00,7.282325600000000287e-01,-2.120591999999999810e+00,2.540499300000000105e+01,2.366466799999999981e+00,-7.196720000000000006e+00
-7.801559669800001151e-01,1.183033103999999947e+00,-1.527734886399999964e-02,-8.693085245960000540e-01,5.284097229199999912e-01,-9.766343410000001057e+00,1.885700444444444457e-01,5.288923200000000130e-02,3.820202288888889242e-01,8.175133476923075904e+00,2.635615246153846414e+01,9.828481999999999497e-01,-3.912313700000000227e-02,4.025422399999999817e-02,-1.756651999999999936e-01,3.509594199999999997e+00,6.772823300000000435e-01,-2.227038100000000131e+00,2.618525999999999954e+01,2.495165599999999984e+00,-7.504323499999999925e+00
1.135512351923077118e-01,3.085069840000000396e-01,-2.370659700384615889e-02,-8.110283411538461440e-01,4.455371950000000525e-01,-1.080152197115384638e+01,1.311041255555555618e-01,3.524698533333333467e-02,4.096421133333333353e-01,8.829310928571427297e+00,2.635142692857143487e+01,9.694464000000000414e-01,-7.585411000000000237e-02,1.460843800000000137e-01,-1.818771000000000138e-01,2.889425300000000085e+00,6.701438400000000462e-01,-2.129993199999999920e+00,2.684547600000000145e+01,2.655224000000000029e+00,-7.882120600000000366e+00
5.346097160480000055e-01,-1.786498156579999996e+00,-5.878997339999998163e-03,-6.304091313199999824e-01,5.853550997599999972e-01,-1.129101884999999861e+01,1.793226622222222344e-01,5.354264899999999772e-02,3.823698788888889033e-01,8.823111569230768225e+00,2.634461446153845543e+01,9.658636499999999625e-01,-6.051760500000000209e-02,1.661539700000000119e-01,-1.893090299999999893e-01,2.040295400000000203e+00,6.881029600000000412e-01,-2.182764999999999844e+00,2.735075799999999902e+01,2.808927800000000197e+00,-8.267086000000000823e+00
-8.476902943399999835e-01,8.650023231199999163e-01,9.489428835999999534e-02,-8.577052016000000778e-01,5.514164364999999401e-01,-9.693332203999998953e+00,2.447149077777777959e-01,5.321594033333332946e-02,3.488040433333333690e-01,7.976349707692307334e+00,2.633538461538460851e+01,9.827601999999999727e-01,-4.154656999999999795e-02,-2.529215400000000072e-02,-1.783723100000000061e-01,1.627496400000000065e+00,6.501130000000000519e-01,-2.392410799999999949e+00,2.771129600000000082e+01,2.920550599999999886e+00,-8.593318000000000012e+00
1.471246240923076987e-01,2.172888388461538187e-02,1.491665911538462262e-04,-3.258528975000000161e-01,6.898981452499999278e-01,-9.760387353846153857e+00,1.862581988888888929e-01,9.110322511111110591e-03,3.977542177777778076e-01,8.769669928571426354e+00,2.633214285714285197e+01,9.716450599999999493e-01,-1.162987800000000044e-01,1.031450399999999934e-01,-1.781620700000000057e-01,1.294112399999999941e+00,5.434866999999999893e-01,-2.208630299999999824e+00,2.799128500000000130e+01,3.060859400000000008e+00,-8.822131000000000611e+00
3.656309354600000283e-01,-3.547390588000000622e-01,-5.016316200000001634e-03,-3.040547735999999390e-01,7.290392115999999589e-01,-1.052097613799999820e+01,2.143306299999999942e-01,3.916748511111110831e-02,3.729294933333333617e-01,8.918844923076921560e+00,2.632538461538461405e+01,9.766508299999999698e-01,-8.944931000000000409e-02,7.435058999999999418e-02,-1.806211799999999923e-01,8.170167999999999875e-01,3.676498200000000161e-01,-2.158081999999999834e+00,2.821504600000000096e+01,3.154847600000000085e+00,-9.117910000000000181e+00
9.843362295840001053e-02,-1.541815856500000081e-01,-5.928153749600000369e-03,-5.172636129999999000e-01,7.880443751999999247e-01,-1.079506769400000010e+01,2.305135600000000062e-01,5.582960611111111027e-02,3.568458577777777752e-01,9.040594769230766659e+00,2.631999999999999673e+01,9.807887699999999764e-01,-6.327175000000000160e-02,3.895450799999999880e-02,-1.803679800000000111e-01,5.219118999999999842e-01,2.521928800000000082e-01,-2.225347999999999882e+00,2.835133400000000137e+01,3.205496500000000193e+00,-9.361513000000000417e+00
-2.522990206000003208e-04,-1.396461087199999951e-01,-1.163298827199999927e-02,-5.703262540000000325e-01,8.288547606799998579e-01,-1.046275727800000155e+01,2.430635833333333329e-01,5.811656388888888913e-02,3.509019133333333151e-01,9.471960607142857924e+00,2.631785714285714306e+01,9.810511499999999829e-01,-6.086871399999999738e-02,2.398378599999999999e-02,-1.823692500000000105e-01,2.759666700000000250e-01,2.544508300000000167e-01,-2.353460800000000130e+00,2.842730900000000105e+01,3.292653000000000052e+00,-9.648705500000000157e+00
5.855123582307692615e-02,-5.897562580115385256e-01,-3.464287520269231091e-02,4.727310600000000224e-02,7.309042592499999103e-01,-8.650197153846153952e+00,2.632096888888889596e-01,5.811656399999999556e-02,3.372657944444444333e-01,9.859060535714288420e+00,2.630999999999999872e+01,9.808869000000000060e-01,-6.549886000000000597e-02,1.004239000000000000e-02,-1.829484700000000019e-01,1.194586750000000003e-01,1.872055199999999864e-01,-2.397799700000000200e+00,2.847266400000000175e+01,3.340932599999999919e+00,-9.970596999999999710e+00
-2.553080977600000190e-02,-1.081199560599999998e+00,-7.669568205999999222e-02,-1.576364897600000259e-01,7.903559305599999751e-01,-7.869804584000000602e+00,3.262900822222222219e-01,6.301718777777778890e-02,2.778263044444444496e-01,1.021947553846153944e+01,2.630999999999999872e+01,9.781557300000000010e-01,-7.310759000000000007e-02,-6.773490499999999803e-02,-1.824245800000000028e-01,1.856410000000000005e-01,1.085030899999999965e-01,-2.049892199999999942e+00,2.851031000000000049e+01,3.367490999999999790e+00,-1.024827499999999958e+01
-1.446751654279999910e-01,-1.400851724000000020e+00,-1.378869952200000026e-01,-1.314562443200000263e-01,6.677875699999999970e-01,-6.646989643999998698e+00,3.830954766666666567e-01,6.236377111111110483e-02,1.981074522222222578e-01,1.063005130769230888e+01,2.630230769230769639e+01,9.632990399999999953e-01,-9.598684999999999856e-02,-1.724634800000000023e-01,-1.819286599999999920e-01,5.224748999999999644e-01,-8.646971999999999992e-02,-1.587754499999999958e+00,2.859699600000000075e+01,3.351747000000000032e+00,-1.047405799999999942e+01
1.237259448653846017e-01,1.506195239038461697e-01,-5.536571670961536878e-02,-5.776313301038462633e-01,9.089181201923076658e-01,-7.867855140384614643e+00,4.138100388888888981e-01,6.857123111111111669e-02,1.292275722222222256e-01,1.073385692857142892e+01,2.630000000000000426e+01,9.231034999999999657e-01,-1.336860800000000127e-01,-3.109550799999999948e-01,-1.825237899999999913e-01,1.137106100000000009e+00,-3.397334799999999766e-01,-7.015390999999999710e-01,2.879771600000000120e+01,3.322321000000000080e+00,-1.059719300000000075e+01
1.713226367999999833e-01,6.923976640000000238e-01,-2.894926176759999789e-02,-5.560742948000000352e-01,9.984708773800001769e-01,-1.057748779599999978e+01,3.883796988888889024e-01,7.967930888888888341e-02,1.774784566666666452e-01,1.090655121428571483e+01,2.629642821428571864e+01,9.420116499999999782e-01,-1.037227200000000044e-01,-2.590619000000000116e-01,-1.863938599999999945e-01,1.984289500000000039e+00,-6.781939999999999635e-01,-1.204649059999999966e-01,2.912736999999999910e+01,3.230956799999999962e+00,-1.055787499999999923e+01
-1.709596614599999953e-01,9.859797088051996256e-03,-3.015451363600000212e-01,-9.954171358000000192e-01,8.952352069999999218e-01,-1.157224124200000048e+01,3.748388855555555566e-01,8.980726666666666302e-02,2.005549622222222161e-01,1.134876238461538378e+01,2.628999900000000522e+01,9.559548500000000226e-01,-7.988582599999999312e-02,-2.078227099999999938e-01,-1.912548099999999973e-01,2.865186000000000011e+00,-9.703355999999999648e-01,-1.434301600000000010e-01,2.964136699999999891e+01,3.090952199999999817e+00,-1.050837199999999960e+01
-8.836869386538462878e-01,4.314496048269230721e-01,-1.033974773269230818e+00,-1.397544292819230982e+00,5.054508559615384922e-01,-1.036507086346153628e+01,3.497388266666666690e-01,1.058159705555555552e-01,2.302747088888889015e-01,1.135329199999999972e+01,2.628214185714285023e+01,9.429288999999999588e-01,-9.874262000000000317e-02,-2.044705900000000076e-01,-2.435712200000000049e-01,3.624932300000000218e+00,-1.331694500000000003e+00,-3.629623000000000155e-01,3.034226400000000012e+01,2.852380999999999833e+00,-1.052044500000000049e+01
