w_x,w_y,w_z,a_x,a_y,a_z,m_x,m_y,m_z,h,T,q0,q1,q2,q3,Vn,Ve,Vd,Pn,Pe,Pd
-3.364951646538461710e-02,-9.174175515384614885e-03,-9.771991226923076868e-02,-9.542381244230769832e-01,-1.990053234615384303e-01,-9.740176892307690792e+00,4.055569088888888452e-02,2.272107555555555602e-01,3.652636566666666584e-01,4.715804335714285855e+01,2.803928471428572067e+01,-7.921293400000000151e-01,1.445999000000000069e-02,5.362348000000000114e-02,6.078211700000000217e-01,-2.976286699999999841e-01,5.161392000000000202e-01,-2.740466599999999975e+00,4.621635399999999727e+00,-3.730244900000000197e+00,-1.552797800000000006e+00
-3.453296202000000203e-02,4.273450347599997215e-03,-1.158168113000000027e-01,-9.634839438400001344e-01,-2.405946012590000349e-01,-9.977752173999999030e+00,3.810336669999999509e-02,2.279909170000000151e-01,3.659590990000000099e-01,4.773784435714285479e+01,2.804642821428571864e+01,-7.858585999999999627e-01,1.728308799999999854e-02,5.178682500000000161e-02,6.159919000000000366e-01,-2.637083499999999803e-01,5.036471000000000142e-01,-2.705702300000000005e+00,4.555863000000000440e+00,-3.629304600000000214e+00,-2.068323900000000215e+00
9.253391494346157459e-03,-2.237843836538461542e-02,-9.268224626923078635e-02,-1.067846531269230459e+00,-2.418338591538461424e-01,-9.894505755769229083e+00,2.928825411111110957e-02,2.272107577777777720e-01,3.670022677777777798e-01,4.829971307142857029e+01,2.805357142857142705e+01,-7.780865399999999932e-01,1.886293099999999945e-02,5.198851200000000061e-02,6.257177999999999907e-01,-2.536482500000000195e-01,4.966834800000000105e-01,-2.729328999999999894e+00,4.490984000000000087e+00,-3.522587800000000158e+00,-2.593056999999999945e+00
-2.215090824000000291e-02,-1.303989307200000176e-02,-6.692028360000000509e-02,-1.064178655079999869e+00,-2.530450199999998984e-01,-9.697940323999999279e+00,2.796267366666666671e-02,2.285110244444444327e-01,3.680454366666666144e-01,4.883819530769230255e+01,2.806230769230769084e+01,-7.726733999999999547e-01,1.950742100000000048e-02,5.398307000000000105e-02,6.322034600000000504e-01,-2.378971099999999950e-01,4.900815199999999927e-01,-2.711452200000000090e+00,4.435355000000000381e+00,-3.422778800000000121e+00,-3.121960200000000185e+00
9.805139055999999298e-02,-1.453519019039999915e-01,-1.787215647200000174e-02,-8.712772425999999459e-01,-2.112777594399999903e-01,-9.751549066000000821e+00,2.498011755555555255e-02,2.268856900000000287e-01,3.670022677777777798e-01,4.915348440000000352e+01,2.806799999999999784e+01,-7.682461000000000428e-01,2.205248500000000014e-02,5.458197399999999838e-02,6.374421000000000115e-01,-2.212052599999999869e-01,4.795123299999999866e-01,-2.696580599999999883e+00,4.383016999999999719e+00,-3.331027300000000135e+00,-3.640747999999999873e+00
2.037309579921568192e-01,-5.806937934117647471e-01,2.860886911764706220e-01,-1.218711402588235293e+00,-3.156159709803922353e-01,-1.024097481764705897e+01,7.966032422222221743e-02,2.454144699999999957e-01,3.325776288888888654e-01,4.955802374999999671e+01,2.807749999999999702e+01,-7.681985999999999537e-01,2.936921300000000165e-02,9.593839999999999313e-02,6.323007999999999962e-01,-1.709924300000000008e-01,4.176908400000000077e-01,-2.673913000000000206e+00,4.342484999999999928e+00,-3.223734900000000181e+00,-4.136811999999999934e+00
-5.089105282800000102e-02,1.795465576340000147e-01,3.047704816000000316e-01,-1.160283346679999994e+00,-1.663785334000000560e-01,-1.019459059000000067e+01,1.098172902222222247e-01,2.424888688888889032e-01,3.186686711111110792e-01,5.018689571428571128e+01,2.808142857142856386e+01,-7.828495500000000051e-01,4.852779000000000120e-02,1.307190799999999875e-01,6.063863000000000447e-01,5.959555999999999968e-04,1.956839700000000126e-01,-2.704470600000000058e+00,4.320961500000000122e+00,-3.154327400000000114e+00,-4.629176600000000086e+00
-6.361771421780000602e-02,1.968463957479999749e-01,2.450717098000000094e-01,-1.245241911339999952e+00,-2.593874545000001142e-01,-1.064503432000000060e+01,1.094858926666666676e-01,2.298112877777777618e-01,3.280572266666667014e-01,5.076830807692307701e+01,2.808769230769230063e+01,-8.026671399999999457e-01,4.512197500000000167e-02,1.100698900000000036e-01,5.844434499999999755e-01,1.728611100000000123e-01,-5.545631399999999961e-02,-2.775482199999999899e+00,4.341012000000000093e+00,-3.139595299999999867e+00,-5.141585000000000072e+00
-5.473661138461539261e-02,1.549746391250000077e-01,1.769827642307691962e-01,-1.320912206923076981e+00,-1.884419721730768160e-01,-1.069643245192308001e+01,1.088231015555555514e-01,2.197342311111110946e-01,3.395321011111110954e-01,5.155147773333332140e+01,2.809599880000000738e+01,-8.181446999999999470e-01,4.168905700000000158e-02,9.013317499999999594e-02,5.663723000000000507e-01,2.822747800000000029e-01,-2.675041300000000066e-01,-2.919442399999999882e+00,4.380103599999999986e+00,-3.183835999999999888e+00,-5.714126000000000261e+00
-3.780805624799999515e-02,1.166682962159999865e-01,1.246358048600000185e-01,-1.481470838099999909e+00,-1.004632099899999825e-01,-1.065792884000000029e+01,1.081603104444444352e-01,2.145331711111110873e-01,3.433570577777777522e-01,5.218479438461538678e+01,2.810076730769230835e+01,-8.283692999999999751e-01,3.896789300000000345e-02,7.551905999999999897e-02,5.536990000000000522e-01,3.438667000000000251e-01,-3.754374699999999954e-01,-3.079421299999999917e+00,4.442165400000000375e+00,-3.257132499999999986e+00,-6.308082999999999885e+00
