timestamp,timestamp_sample,control_mode_flags,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
5272650,5147454,7046432257,2.5907277e-05,0.008553306,0.008645355,0,0.016517155,0.12252102,nan,nan,nan,0.00443767,0.0,0.0,0.0,0.0,6029322,6029322,3997730,0,0,0,164,1,1,1,2,0,0,0,0,0,0,0,0
5479900,5349450,7046432257,2.9511599e-05,0.008032871,0.007868916,0,0.015697118,0.11986522,nan,nan,nan,0.0036968775,0.0,0.0,0.0,0.0,6029322,6029322,3997730,0,0,0,164,1,1,1,2,0,0,0,0,0,0,0,0
5680415,5562452,7046432257,3.693919e-05,0.00753574,0.006903822,0,0.015541166,0.11617138,nan,nan,nan,0.006203398,0.0,0.0,0.0,0.0,6029322,6029322,3997730,0,0,0,164,1,1,1,2,0,0,0,0,0,0,0,0
5866368,5739452,7046432257,6.2661675e-05,0.007062129,0.006425217,0,0.014540349,0.11556115,nan,nan,nan,0.0065885587,0.0,0.0,0.0,0.0,6029322,6029322,3997730,0,0,0,164,1,1,1,2,0,0,0,0,0,0,0,0
6077439,5943452,7046432257,8.986392e-05,0.0067795026,0.005895307,0,0.01395729,0.11384729,nan,nan,nan,0.0075211003,0.0,0.0,0.0,0.0,6029322,6029322,3997730,0,0,0,164,1,1,1,2,0,0,0,0,0,0,0,0
6277473,6146451,7046432257,0.00010716293,0.006470718,0.0053927703,0,0.013690879,0.11242255,nan,nan,nan,0.0057141576,0.0,0.0,0.0,0.0,6029322,6029322,3997730,0,0,0,164,1,1,1,2,0,0,0,0,0,0,0,0
6476576,6354451,7046432257,0.000103225386,0.0060590454,0.0048140762,0,0.013558295,0.110064395,nan,nan,nan,0.008407701,0.0,0.0,0.0,0.0,6029322,6029322,3997730,0,0,0,164,1,1,1,2,0,0,0,0,0,0,0,0
6677406,6545451,7046432257,0.00010847114,0.005603265,0.004376924,0,0.013444606,0.110373594,nan,nan,nan,0.010418277,0.0,0.0,0.0,0.0,6029322,6029322,3997730,0,0,0,164,1,1,1,2,0,0,0,0,0,0,0,0
6879361,6764451,7046432257,8.909579e-05,0.004951994,0.003907009,0,0.013728357,0.10877774,nan,nan,nan,0.012039887,0.0,0.0,0.0,0.0,6029322,6029322,3997730,0,0,0,164,1,1,1,2,0,0,0,0,0,0,0,0
7073310,6943451,7046432257,0.0001015682,0.0045145447,0.0034509148,0,0.0129972175,0.109359376,nan,nan,nan,0.010261093,0.0,0.0,0.0,0.0,6029322,6029322,3997730,0,0,0,164,1,1,1,2,0,0,0,0,0,0,0,0
7272505,7145451,7046432257,9.9518395e-05,0.0041225743,0.0030992886,0,0.012618164,0.10908979,nan,nan,nan,0.010383946,0.0,0.0,0.0,0.0,6029322,6029322,3997730,0,0,0,164,1,1,1,2,0,0,0,0,0,0,0,0
7471416,7336452,7046432257,0.00011194518,0.003954842,0.003026291,0,0.012010375,0.108846135,nan,nan,nan,0.012934948,0.0,0.0,0.0,0.0,6029322,6029322,3997730,0,0,0,164,1,1,1,2,0,0,0,0,0,0,0,0
7679359,7545452,7046432257,0.00011822398,0.0037677377,0.0028349075,0,0.011881034,0.10892877,nan,nan,nan,0.012407665,0.0,0.0,0.0,0.0,6029322,6029322,3997730,0,0,0,164,1,1,1,2,0,0,0,0,0,0,0,0
7872398,7741453,7046432257,0.00012347655,0.003612934,0.0028697387,0,0.011572648,0.108997114,nan,nan,nan,0.014158277,0.0,0.0,0.0,0.0,6029322,6029322,3997730,0,0,0,164,1,1,1,2,0,0,0,0,0,0,0,0
8076306,7949451,7046432257,0.00011727136,0.0032811875,0.0027121815,0,0.011555045,0.10938791,nan,nan,nan,0.013260667,0.0,0.0,0.0,0.0,6029322,6029322,3997730,0,0,0,164,1,1,1,2,0,0,0,0,0,0,0,0
8270360,8139452,7046432257,0.00011438155,0.0030373672,0.0029598784,0,0.011274,0.109695986,nan,nan,nan,0.013264783,0.0,0.0,0.0,0.0,6029322,6029322,3997730,0,0,0,164,1,1,1,2,0,0,0,0,0,0,0,0
8479392,8348451,7046432257,0.000110536865,0.0027696863,0.0029096692,0,0.011243327,0.11030198,nan,nan,nan,0.0154422335,0.0,0.0,0.0,0.0,6029322,6029322,3997730,0,0,0,164,1,1,1,2,0,0,0,0,0,0,0,0
